epoch,accuracy
0,54.17
1,60.94
2,63.02
3,69.27
4,69.79
5,73.44
6,69.79
7,66.67
8,73.96
9,70.31
10,65.10
11,72.40
12,77.08
13,79.69
14,82.29
15,83.33
16,79.69
17,83.33
18,84.90
19,88.02
20,82.81
21,83.85
22,83.33
23,80.21
24,89.06
25,88.54
26,86.98
27,85.94
28,82.81
29,84.90
30,82.29
31,85.42
32,85.94
33,88.02
34,88.54
35,92.71
36,87.50
37,85.94
38,90.62
39,89.06
40,89.06
41,87.50
42,84.38
43,89.06
44,89.58
45,90.10
46,82.81
47,92.71
48,89.06
49,93.23
50,91.15
51,91.67
52,89.58
53,88.02
54,88.02
55,78.65
56,86.46
57,90.10
58,90.10
59,90.10
60,90.10
61,89.06
62,91.15
63,90.10
64,90.10
65,94.27
66,92.71
67,89.06
68,91.15
69,92.71
70,91.67
71,90.10
72,90.62
73,89.06
74,90.62
75,89.58
76,84.38
77,92.19
78,91.67
79,90.62
80,90.10
81,91.15
82,92.19
83,94.79
84,88.02
85,89.06
86,91.67
87,93.23
88,89.58
89,92.19
90,91.15
91,92.71
92,90.10
93,92.71
94,91.15
95,92.71
96,91.15
97,92.19
98,88.54
99,88.02
100,94.79
101,86.46
102,91.15
103,89.58
104,92.71
105,92.71
106,93.23
107,93.23
108,92.71
109,88.02
110,94.27
111,94.79
112,93.23
113,94.27
114,93.75
115,93.23
116,93.23
117,95.31
118,93.75
119,90.62
120,91.67
121,94.79
122,94.27
123,93.75
124,93.75
125,92.19
126,91.15
127,90.10
128,92.71
129,95.31
130,93.75
131,94.27
132,93.23
133,88.02
134,93.23
135,90.10
136,91.15
137,88.54
138,92.19
139,91.67
140,92.71
141,93.75
142,90.62
143,93.23
144,94.27
145,94.27
146,94.79
147,95.31
148,94.79
149,94.79
150,92.71
151,93.23
152,93.75
153,92.19
154,93.75
155,93.75
156,92.19
157,93.75
158,92.71
159,92.71
160,91.15
161,89.58
162,92.19
163,93.23
164,91.67
165,93.23
166,92.19
167,92.71
168,93.23
169,94.27
170,93.23
171,90.62
172,93.23
173,92.71
174,91.15
175,88.02
176,91.15
177,90.62
178,91.15
179,93.23
180,89.58
181,90.10
182,89.58
183,90.10
184,90.62
185,91.67
186,92.19
187,89.06
188,91.67
189,92.19
190,88.54
191,89.58
192,88.54
193,88.54
194,93.23
195,89.06
196,89.58
197,91.15
198,89.06
199,91.15
200,92.19
201,91.15
202,88.54
203,89.06
204,89.58
205,89.58
206,92.19
207,92.71
208,93.75
209,93.75
210,94.27
211,91.67
212,91.15
213,93.75
214,90.62
215,90.62
216,86.98
217,91.67
218,93.75
219,92.71
220,94.27
221,92.19
222,94.27
223,93.23
224,93.23
225,92.19
226,92.71
227,93.75
228,91.15
229,92.19
230,92.19
231,92.19
232,91.15
233,90.62
234,91.15
235,92.71
236,91.15
237,92.19
238,92.19
239,92.19
240,92.71
241,93.23
242,93.23
243,92.71
244,90.10
245,93.23
246,90.62
247,91.15
248,87.50
249,94.27
250,93.75
251,94.27
252,93.75
253,93.75
254,93.75
255,93.75
256,94.27
257,94.27
258,93.23
259,93.23
260,94.27
261,94.27
262,94.27
263,94.79
264,94.27
265,93.75
266,93.23
267,93.75
268,94.79
269,93.75
270,93.75
271,94.27
272,94.79
273,94.27
274,94.79
275,93.75
276,94.79
277,94.27
278,93.75
279,94.79
280,94.27
281,93.75
282,93.75
283,94.79
284,94.27
285,95.83
286,94.79
287,95.31
288,93.75
289,93.23
290,95.83
291,94.79
292,93.75
293,93.75
294,93.75
295,94.27
296,94.27
297,94.27
298,94.27
299,94.79
300,93.23
301,95.83
302,95.31
303,95.31
304,94.27
305,94.27
306,94.27
307,94.27
308,94.79
309,95.83
310,94.27
311,93.75
312,94.79
313,94.79
314,95.31
315,93.23
316,94.27
317,95.31
318,95.83
319,93.23
320,94.27
321,95.31
322,95.31
323,95.83
324,94.79
325,94.27
326,93.75
327,93.75
328,94.27
329,95.31
330,94.79
331,95.31
332,96.35
333,93.75
334,95.83
335,95.83
336,95.31
337,94.79
338,95.83
339,93.75
340,94.27
341,94.27
342,93.23
343,93.23
344,94.79
345,95.31
346,94.79
347,94.27
348,94.27
349,94.27
350,94.79
351,94.79
352,94.79
353,94.27
354,94.79
355,93.75
356,94.79
357,95.31
358,94.27
359,94.79
360,95.31
361,93.23
362,94.79
363,94.27
364,94.79
365,96.88
366,95.31
367,94.79
368,93.75
369,95.83
370,95.31
371,94.79
372,95.31
373,94.27
374,95.31
375,94.79
376,94.79
377,93.23
378,94.27
379,94.27
380,93.75
381,94.79
382,94.27
383,94.27
384,93.75
385,95.83
386,94.79
387,94.27
388,94.27
389,95.31
390,94.79
391,94.79
392,96.35
393,93.75
394,94.27
395,94.79
396,93.75
397,93.75
398,94.79
399,94.79
400,95.31
401,94.27
402,94.79
403,93.75
404,93.75
405,93.75
406,94.79
407,95.83
408,94.79
409,95.31
410,94.27
411,94.79
412,93.75
413,94.27
414,94.79
415,93.75
416,94.79
417,94.27
418,93.75
419,94.79
420,93.75
421,93.75
422,94.27
423,95.31
424,94.79
425,94.27
426,94.27
427,94.79
428,94.27
429,95.31
430,93.75
431,94.79
432,93.75
433,94.27
434,93.75
435,93.75
436,94.79
437,94.27
438,94.79
439,94.79
440,93.23
441,94.27
442,95.31
443,93.23
444,95.83
445,93.23
446,94.27
447,94.79
448,95.31
449,94.79
450,94.79
451,94.79
452,94.27
453,94.27
454,95.31
455,95.83
456,94.79
457,94.27
458,93.75
459,93.75
460,94.27
461,94.79
462,94.79
463,93.75
464,94.79
465,94.27
466,94.79
467,94.27
468,93.23
469,93.75
470,94.27
471,93.75
472,94.27
473,94.79
474,94.27
475,94.27
476,93.75
477,94.27
478,94.27
479,93.75
480,95.31
481,94.79
482,93.75
483,93.75
484,94.27
485,94.27
486,95.31
487,93.75
488,93.75
489,94.79
490,93.75
491,95.31
492,94.79
493,95.31
494,94.79
495,94.79
496,94.27
497,94.79
498,94.79
499,94.79
