epoch,accuracy
0,44.83
1,53.02
2,59.91
3,60.99
4,64.44
5,65.52
6,69.40
7,72.84
8,78.66
9,77.80
10,73.28
11,77.37
12,79.96
13,76.51
14,84.05
15,82.97
16,83.41
17,85.13
18,85.13
19,85.56
20,89.44
21,90.73
22,87.28
23,90.30
24,90.52
25,90.09
26,91.81
27,93.53
28,94.61
29,93.75
30,89.01
31,86.85
32,92.24
33,94.18
34,93.75
35,94.61
36,95.04
37,92.46
38,94.83
39,95.26
40,94.40
41,94.40
42,93.75
43,96.34
44,93.75
45,97.41
46,97.84
47,96.98
48,97.41
49,97.41
50,97.41
51,97.20
52,96.98
53,97.63
54,97.84
55,94.40
56,94.40
57,96.34
58,97.20
59,96.98
60,96.34
61,95.47
62,97.20
63,99.14
64,97.63
65,97.41
66,96.12
67,97.20
68,97.20
69,96.12
70,97.63
71,98.06
72,97.63
73,98.28
74,95.91
75,95.69
76,96.98
77,98.92
78,97.41
79,97.84
80,98.06
81,97.41
82,98.28
83,99.35
84,97.41
85,97.84
86,99.14
87,99.35
88,98.92
89,99.57
90,99.78
91,99.57
92,98.92
93,99.14
94,98.92
95,98.92
96,98.71
97,98.92
98,97.84
99,98.06
100,97.20
101,98.06
102,99.14
103,98.06
104,98.71
105,99.14
106,100.00
107,100.00
108,98.49
109,98.06
110,97.84
111,97.84
112,98.92
113,99.57
114,99.35
115,98.92
116,99.35
117,99.78
118,99.57
119,98.49
120,99.35
121,99.57
122,99.78
123,99.78
124,99.35
125,98.71
126,99.35
127,98.49
128,99.35
129,99.57
130,99.78
131,99.57
132,98.28
133,98.06
134,98.92
135,99.14
136,98.71
137,97.20
138,98.92
139,99.35
140,99.14
141,99.57
142,99.78
143,99.78
144,100.00
145,99.78
146,99.57
147,99.35
148,99.78
149,99.35
150,99.78
151,98.92
152,100.00
153,99.35
154,99.78
155,99.14
156,99.57
157,99.57
158,99.35
159,99.78
160,99.57
161,99.35
162,99.14
163,100.00
164,100.00
165,100.00
166,99.78
167,100.00
168,100.00
169,99.78
170,99.78
171,100.00
172,99.78
173,99.57
174,99.35
175,98.28
176,99.57
177,99.35
178,99.35
179,99.78
180,99.57
181,99.78
182,100.00
183,99.78
184,100.00
185,100.00
186,100.00
187,98.71
188,99.14
189,99.57
190,99.35
191,99.35
192,98.92
193,99.78
194,99.35
195,98.71
196,100.00
197,99.57
198,99.14
199,99.57
200,99.57
201,97.84
202,99.35
203,99.57
204,99.78
205,99.14
206,99.57
207,100.00
208,100.00
209,100.00
210,99.78
211,99.35
212,98.28
213,99.14
214,99.35
215,99.57
216,98.28
217,99.35
218,99.78
219,97.63
220,98.92
221,99.35
222,99.78
223,99.78
224,99.78
225,99.78
226,99.78
227,99.78
228,99.35
229,100.00
230,99.78
231,100.00
232,99.78
233,99.35
234,99.78
235,99.78
236,99.78
237,100.00
238,99.78
239,99.78
240,99.78
241,99.57
242,100.00
243,99.78
244,99.78
245,98.49
246,100.00
247,98.71
248,99.35
249,99.57
250,99.35
251,99.57
252,99.78
253,100.00
254,100.00
255,100.00
256,99.78
257,99.78
258,99.35
259,99.78
260,100.00
261,100.00
262,99.78
263,100.00
264,100.00
265,100.00
266,100.00
267,99.78
268,99.78
269,99.78
270,100.00
271,100.00
272,99.78
273,100.00
274,99.35
275,100.00
276,100.00
277,99.35
278,99.78
279,100.00
280,99.57
281,99.78
282,100.00
283,100.00
284,100.00
285,100.00
286,100.00
287,100.00
288,100.00
289,99.78
290,100.00
291,100.00
292,100.00
293,100.00
294,100.00
295,100.00
296,100.00
297,100.00
298,100.00
299,99.57
300,100.00
301,100.00
302,99.78
303,100.00
304,100.00
305,100.00
306,100.00
307,100.00
308,99.78
309,99.78
310,100.00
311,100.00
312,99.78
313,100.00
314,99.78
315,99.78
316,99.78
317,100.00
318,99.78
319,99.35
320,99.78
321,100.00
322,100.00
323,99.78
324,100.00
325,100.00
326,100.00
327,100.00
328,99.78
329,100.00
330,100.00
331,100.00
332,100.00
333,100.00
334,100.00
335,100.00
336,100.00
337,100.00
338,100.00
339,100.00
340,99.78
341,100.00
342,100.00
343,100.00
344,99.78
345,100.00
346,100.00
347,100.00
348,100.00
349,99.78
350,100.00
351,100.00
352,100.00
353,100.00
354,100.00
355,100.00
356,100.00
357,100.00
358,100.00
359,100.00
360,100.00
361,99.78
362,100.00
363,100.00
364,99.78
365,100.00
366,100.00
367,100.00
368,100.00
369,100.00
370,100.00
371,100.00
372,100.00
373,100.00
374,100.00
375,100.00
376,100.00
377,100.00
378,100.00
379,100.00
380,99.78
381,100.00
382,100.00
383,100.00
384,99.78
385,99.78
386,100.00
387,100.00
388,100.00
389,100.00
390,99.78
391,100.00
392,100.00
393,99.78
394,100.00
395,100.00
396,100.00
397,100.00
398,100.00
399,100.00
400,100.00
401,100.00
402,100.00
403,100.00
404,100.00
405,100.00
406,100.00
407,99.78
408,100.00
409,100.00
410,100.00
411,100.00
412,100.00
413,99.78
414,100.00
415,100.00
416,100.00
417,100.00
418,100.00
419,100.00
420,100.00
421,100.00
422,100.00
423,100.00
424,100.00
425,100.00
426,100.00
427,100.00
428,100.00
429,100.00
430,100.00
431,100.00
432,100.00
433,100.00
434,100.00
435,99.57
436,100.00
437,100.00
438,100.00
439,99.78
440,100.00
441,100.00
442,100.00
443,100.00
444,99.78
445,100.00
446,100.00
447,100.00
448,100.00
449,100.00
450,100.00
451,100.00
452,100.00
453,100.00
454,100.00
455,100.00
456,99.57
457,100.00
458,100.00
459,100.00
460,100.00
461,100.00
462,100.00
463,99.78
464,100.00
465,100.00
466,100.00
467,100.00
468,100.00
469,100.00
470,100.00
471,100.00
472,100.00
473,100.00
474,99.78
475,100.00
476,99.78
477,100.00
478,100.00
479,100.00
480,100.00
481,99.78
482,99.78
483,100.00
484,100.00
485,100.00
486,100.00
487,100.00
488,99.35
489,99.78
490,100.00
491,100.00
492,100.00
493,100.00
494,99.57
495,100.00
496,99.78
