epoch,mean_loss
0,1.299193
1,1.118103
2,0.994778
3,0.893675
4,0.824170
5,0.819953
6,0.747124
7,0.661451
8,0.587833
9,0.584002
10,0.615308
11,0.576433
12,0.502445
13,0.554707
14,0.451362
15,0.436383
16,0.421540
17,0.390928
18,0.405858
19,0.418393
20,0.299349
21,0.270933
22,0.332794
23,0.300634
24,0.265756
25,0.287142
26,0.223549
27,0.181662
28,0.171139
29,0.158864
30,0.318837
31,0.362924
32,0.219550
33,0.158349
34,0.187270
35,0.159570
36,0.146976
37,0.166951
38,0.146408
39,0.118470
40,0.168045
41,0.162022
42,0.159781
43,0.112060
44,0.168945
45,0.083105
46,0.080387
47,0.089952
48,0.076196
49,0.065105
50,0.066505
51,0.136737
52,0.076717
53,0.068662
54,0.070170
55,0.176787
56,0.154990
57,0.116782
58,0.083418
59,0.083789
60,0.096030
61,0.127021
62,0.097032
63,0.031920
64,0.054720
65,0.081672
66,0.113451
67,0.090929
68,0.059913
69,0.113012
70,0.062453
71,0.042894
72,0.057281
73,0.055498
74,0.114606
75,0.128748
76,0.075248
77,0.030623
78,0.070046
79,0.059337
80,0.049702
81,0.072717
82,0.056880
83,0.020759
84,0.075861
85,0.058666
86,0.029136
87,0.025759
88,0.050113
89,0.013842
90,0.009517
91,0.010393
92,0.028435
93,0.035974
94,0.032533
95,0.021030
96,0.029910
97,0.018520
98,0.042411
99,0.061757
100,0.082719
101,0.052636
102,0.026287
103,0.043126
104,0.043810
105,0.031261
106,0.010258
107,0.004059
108,0.038096
109,0.051701
110,0.052935
111,0.056996
112,0.026075
113,0.020627
114,0.024633
115,0.041259
116,0.024955
117,0.008536
118,0.015707
119,0.038134
120,0.016542
121,0.014803
122,0.009632
123,0.012004
124,0.022342
125,0.026424
126,0.023660
127,0.045924
128,0.031017
129,0.013189
130,0.006351
131,0.011556
132,0.052210
133,0.073974
134,0.027427
135,0.022826
136,0.047663
137,0.066603
138,0.017814
139,0.017203
140,0.028046
141,0.021773
142,0.010585
143,0.009462
144,0.003035
145,0.011817
146,0.012946
147,0.012487
148,0.006544
149,0.011813
150,0.006164
151,0.021327
152,0.003420
153,0.014443
154,0.010938
155,0.043372
156,0.016238
157,0.017331
158,0.011173
159,0.014114
160,0.013115
161,0.020287
162,0.017895
163,0.003643
164,0.006009
165,0.003597
166,0.003545
167,0.004410
168,0.002197
169,0.011344
170,0.025071
171,0.005606
172,0.006059
173,0.011722
174,0.019043
175,0.043963
176,0.015057
177,0.010266
178,0.018192
179,0.004044
180,0.007555
181,0.005200
182,0.003441
183,0.003871
184,0.001011
185,0.003394
186,0.001644
187,0.035242
188,0.018957
189,0.026331
190,0.013229
191,0.012689
192,0.034801
193,0.011713
194,0.012110
195,0.039714
196,0.010874
197,0.008350
198,0.017601
199,0.012404
200,0.016644
201,0.043432
202,0.021661
203,0.024866
204,0.005230
205,0.014197
206,0.006428
207,0.003218
208,0.004104
209,0.001586
210,0.004983
211,0.009068
212,0.047756
213,0.024208
214,0.021795
215,0.023262
216,0.069735
217,0.012193
218,0.010292
219,0.082420
220,0.045670
221,0.016265
222,0.010259
223,0.009473
224,0.005739
225,0.010003
226,0.004854
227,0.006624
228,0.016079
229,0.004815
230,0.004339
231,0.001188
232,0.005521
233,0.020097
234,0.006052
235,0.006428
236,0.005585
237,0.003680
238,0.004864
239,0.015900
240,0.003306
241,0.009271
242,0.003021
243,0.013575
244,0.008075
245,0.045613
246,0.003585
247,0.022574
248,0.020831
249,0.010045
250,0.018123
251,0.011991
252,0.009373
253,0.004259
254,0.001812
255,0.001286
256,0.007829
257,0.005992
258,0.012803
259,0.014001
260,0.004261
261,0.000786
262,0.007767
263,0.001421
264,0.001754
265,0.003077
266,0.001664
267,0.016340
268,0.005902
269,0.002756
270,0.001266
271,0.002818
272,0.002751
273,0.002114
274,0.009314
275,0.001104
276,0.002429
277,0.018138
278,0.007995
279,0.000840
280,0.016892
281,0.007311
282,0.002077
283,0.001722
284,0.000843
285,0.000242
286,0.001267
287,0.000798
288,0.000921
289,0.008040
290,0.000678
291,0.000383
292,0.000543
293,0.003551
294,0.000815
295,0.001812
296,0.000423
297,0.000489
298,0.000863
299,0.006980
300,0.000677
301,0.001051
302,0.003511
303,0.000596
304,0.001425
305,0.001403
306,0.001218
307,0.002782
308,0.006947
309,0.003498
310,0.000266
311,0.002995
312,0.008902
313,0.001782
314,0.008215
315,0.004049
316,0.002779
317,0.001176
318,0.005352
319,0.009691
320,0.006317
321,0.002545
322,0.001225
323,0.002864
324,0.001087
325,0.003249
326,0.001453
327,0.001819
328,0.004772
329,0.002244
330,0.000619
331,0.000642
332,0.000460
333,0.000857
334,0.000518
335,0.000417
336,0.000653
337,0.000990
338,0.000861
339,0.001303
340,0.003494
341,0.001497
342,0.002796
343,0.000242
344,0.007830
345,0.001223
346,0.000517
347,0.000785
348,0.001101
349,0.004215
350,0.000451
351,0.000226
352,0.000500
353,0.002333
354,0.000401
355,0.001779
356,0.001931
357,0.000355
358,0.001923
359,0.001259
