epoch,accuracy
0,44.61
1,53.23
2,58.19
3,63.58
4,64.87
5,67.24
6,68.75
7,70.47
8,72.63
9,76.51
10,77.59
11,80.82
12,82.11
13,82.97
14,82.76
15,80.39
16,85.56
17,83.62
18,83.84
19,88.36
20,85.13
21,87.50
22,90.30
23,84.48
24,85.56
25,85.56
26,92.89
27,90.95
28,92.03
29,92.03
30,91.59
31,92.46
32,92.03
33,89.44
34,92.67
35,93.10
36,89.87
37,91.81
38,93.32
39,96.55
40,95.26
41,92.89
42,93.10
43,93.10
44,92.24
45,93.10
46,94.61
47,94.83
48,93.10
49,95.69
50,95.47
51,94.18
52,93.97
53,94.83
54,94.61
55,96.34
56,96.12
57,94.83
58,95.91
59,92.67
60,96.98
61,96.98
62,98.71
63,96.98
64,96.12
65,97.63
66,95.69
67,95.69
68,97.41
69,97.41
70,97.41
71,96.34
72,94.18
73,97.41
74,97.20
75,96.98
76,95.91
77,97.41
78,97.20
79,96.34
80,98.28
81,97.20
82,99.35
83,97.20
84,97.63
85,98.49
86,98.06
87,97.84
88,97.63
89,98.49
90,97.63
91,97.63
92,98.92
93,98.06
94,95.91
95,98.71
96,98.28
97,96.12
98,98.06
99,96.34
100,97.20
101,95.47
102,96.77
103,98.92
104,99.14
105,98.71
106,96.34
107,97.63
108,97.41
109,98.28
110,98.49
111,98.92
112,96.77
113,98.49
114,98.49
115,99.35
116,99.78
117,98.92
118,98.71
119,96.98
120,98.49
121,97.20
122,97.41
123,99.35
124,97.63
125,99.35
126,99.78
127,98.06
128,97.63
129,97.41
130,98.06
131,99.14
132,99.35
133,99.35
134,98.71
135,98.49
136,98.92
137,99.78
138,99.57
139,99.78
140,99.35
141,99.35
142,100.00
143,98.92
144,98.92
145,98.06
146,99.14
147,99.35
148,100.00
149,100.00
150,99.57
151,98.49
152,98.92
153,98.49
154,98.28
155,98.92
156,99.35
157,98.71
158,98.92
159,99.14
160,99.14
161,99.57
162,98.49
163,98.49
164,98.92
165,99.14
166,99.35
167,98.28
168,98.06
169,99.35
170,99.14
171,99.35
172,99.14
173,99.35
174,99.78
175,99.57
176,99.78
177,99.35
178,98.92
179,99.14
180,98.49
181,99.35
182,98.92
183,99.78
184,99.78
185,98.71
186,99.78
187,99.78
188,100.00
189,99.78
190,99.35
191,99.35
192,99.57
193,99.57
194,99.57
195,99.14
196,99.35
197,100.00
198,99.57
199,98.92
200,99.57
201,98.28
202,99.35
203,99.57
204,97.84
205,98.49
206,99.14
207,99.78
208,99.57
209,99.14
210,99.14
211,98.28
212,98.71
213,98.49
214,99.78
215,99.35
216,99.35
217,99.57
218,99.78
219,100.00
220,99.57
221,99.57
222,99.14
223,99.14
224,100.00
225,99.78
226,99.57
227,98.71
228,99.57
229,98.28
230,98.71
231,97.84
232,99.57
233,99.14
234,99.57
235,98.92
236,99.35
237,100.00
238,99.35
239,97.63
240,98.28
241,97.84
242,99.35
243,99.35
244,99.57
245,99.78
246,98.92
247,99.57
248,99.57
249,99.57
250,99.57
251,99.57
252,100.00
253,99.14
254,99.78
255,99.78
256,99.78
257,100.00
258,99.35
259,99.78
260,100.00
261,100.00
262,99.35
263,100.00
264,100.00
265,99.78
266,99.57
267,100.00
268,99.78
269,99.35
270,99.78
271,100.00
272,99.57
273,100.00
274,100.00
275,99.57
276,100.00
277,100.00
278,100.00
279,99.78
280,100.00
281,99.78
282,100.00
283,99.78
284,99.78
285,100.00
286,100.00
287,100.00
288,100.00
289,100.00
290,99.78
291,100.00
292,100.00
293,100.00
294,99.78
295,100.00
296,100.00
297,100.00
298,100.00
299,99.57
300,100.00
301,100.00
302,100.00
303,100.00
304,99.35
305,100.00
306,100.00
307,100.00
308,100.00
309,100.00
310,100.00
311,100.00
312,99.78
313,100.00
314,99.57
315,100.00
316,99.78
317,100.00
318,100.00
319,99.78
320,99.57
321,100.00
322,100.00
323,100.00
324,100.00
325,99.78
326,100.00
327,100.00
328,99.78
329,100.00
330,99.78
331,100.00
332,100.00
333,100.00
334,99.78
335,99.78
336,100.00
337,100.00
338,100.00
339,100.00
340,100.00
341,100.00
342,99.78
343,100.00
344,100.00
345,100.00
346,100.00
347,100.00
348,100.00
349,100.00
350,99.78
351,100.00
