epoch,accuracy
0,26.04
1,37.50
2,45.31
3,41.15
4,34.90
5,60.94
6,56.77
7,65.10
8,71.88
9,61.98
10,73.96
11,79.17
12,84.90
13,84.90
14,76.04
15,81.25
16,85.94
17,85.42
18,86.98
19,82.29
20,86.46
21,93.23
22,90.10
23,90.10
24,90.62
25,91.15
26,90.10
27,90.62
28,92.19
29,93.75
30,94.79
31,89.58
32,84.90
33,93.75
34,91.15
35,89.58
36,95.83
37,91.15
38,89.06
39,81.25
40,94.27
41,88.02
42,96.35
43,94.27
44,95.83
45,86.98
46,93.75
47,95.83
48,98.44
49,93.23
50,91.67
51,94.79
52,95.83
53,95.83
54,95.83
55,94.27
56,94.27
57,95.31
58,95.83
59,97.92
60,95.83
61,94.79
62,95.31
63,95.83
64,98.44
65,94.27
66,94.27
67,94.27
68,99.48
69,95.31
70,98.44
71,94.79
72,92.71
73,95.31
74,93.75
75,96.88
76,95.31
77,95.83
78,92.71
79,90.62
80,94.27
81,95.83
82,97.40
83,96.88
84,95.31
85,94.79
86,96.35
87,95.83
88,97.40
89,94.79
90,95.83
91,96.88
92,94.27
93,95.83
94,96.88
95,96.35
96,94.79
97,96.35
98,98.44
99,95.83
100,96.35
101,96.35
102,96.88
103,93.23
104,96.35
105,96.35
106,97.40
107,95.31
108,95.83
109,95.31
110,96.35
111,95.83
112,97.92
113,94.79
114,96.88
115,98.96
116,97.92
117,97.40
118,96.88
119,96.35
120,92.19
121,97.40
122,97.92
123,97.40
124,97.92
125,96.88
126,98.44
127,97.40
128,96.88
129,95.83
130,93.23
131,97.92
132,95.83
133,96.88
134,95.31
135,95.83
136,95.31
137,92.71
138,94.79
139,94.79
140,98.96
141,96.35
142,97.40
143,96.35
144,98.44
145,94.79
146,94.79
147,97.92
148,96.35
149,95.31
150,96.35
151,95.83
152,94.27
153,93.75
154,96.35
155,95.31
156,95.83
157,94.79
158,94.79
159,96.88
160,95.83
161,93.75
162,95.31
163,96.35
164,94.79
165,95.31
166,98.44
167,97.92
168,97.40
169,96.88
170,95.83
171,95.83
172,97.92
173,96.35
174,95.83
175,96.35
176,96.88
177,96.35
178,97.92
179,97.40
180,96.88
181,96.35
182,96.88
183,96.88
184,95.83
185,97.40
186,96.88
187,97.40
188,94.27
189,94.79
190,95.31
191,96.35
192,97.92
193,96.88
194,97.92
195,95.83
196,97.92
197,98.44
198,97.92
199,95.83
200,96.35
201,96.88
202,95.83
203,97.40
204,96.88
205,96.35
206,98.96
207,95.31
208,94.79
209,98.44
210,96.35
211,96.88
212,95.83
213,96.35
214,96.88
215,96.35
216,94.79
217,95.83
218,96.35
219,95.31
220,95.83
221,95.31
222,95.83
223,97.40
224,97.92
225,95.83
226,95.83
227,96.35
228,95.83
229,96.88
230,97.40
231,97.40
232,99.48
233,98.44
234,95.83
235,97.40
236,97.92
237,95.83
238,97.40
239,95.31
240,95.83
241,96.35
242,95.31
243,95.83
244,95.83
245,95.31
246,95.31
247,94.79
248,95.83
249,96.35
250,96.88
251,95.83
252,96.35
253,95.83
254,96.35
255,95.83
256,96.35
257,95.83
258,96.35
259,96.35
260,95.83
261,96.35
262,97.40
263,96.35
264,96.35
265,96.35
266,96.35
267,96.88
268,96.35
269,96.88
270,96.88
271,96.35
272,95.83
273,96.88
274,95.83
275,96.88
276,97.40
277,96.35
278,96.88
279,95.83
280,96.35
281,96.35
282,95.83
283,95.83
284,95.83
285,97.40
286,95.83
287,96.88
288,96.35
289,95.83
290,96.35
291,95.83
292,96.35
293,96.88
294,96.88
295,96.35
296,96.88
297,96.35
298,97.40
299,96.35
300,96.35
301,96.35
302,96.88
303,96.35
304,95.83
305,96.35
306,96.35
307,96.35
308,96.35
309,96.88
310,95.83
311,96.35
312,96.35
313,96.88
314,96.35
315,95.83
316,95.83
317,95.83
318,96.35
319,96.35
320,96.35
321,96.35
322,96.88
323,95.83
324,95.83
325,96.35
326,96.88
327,96.35
328,96.88
329,96.35
330,96.35
331,96.35
332,96.88
333,97.92
334,96.88
335,96.35
336,96.35
337,96.88
338,97.92
339,98.44
340,97.40
341,97.92
342,96.35
343,96.35
344,96.88
345,96.35
346,97.40
347,97.40
348,96.35
349,97.92
350,95.83
351,96.88
352,97.92
353,97.92
354,98.44
355,97.92
356,96.35
357,97.40
358,96.88
359,96.35
360,97.40
361,97.92
362,97.40
363,96.88
364,97.92
365,97.92
366,97.40
367,97.40
368,96.35
369,96.88
370,97.40
371,96.88
372,96.88
373,96.88
374,96.35
375,97.40
376,96.88
377,97.40
378,96.88
379,97.40
380,97.92
381,96.35
382,97.92
383,96.88
384,96.35
385,96.35
386,97.40
387,96.35
388,97.92
389,97.40
390,96.88
391,96.88
392,97.40
393,96.88
394,96.88
395,97.92
396,96.88
397,97.40
398,97.40
399,96.35
400,96.88
401,96.35
402,97.92
403,97.40
404,96.35
405,97.92
406,96.35
407,96.88
408,97.92
409,96.35
410,97.92
411,97.40
412,97.92
413,96.88
414,96.35
415,96.88
416,97.92
417,96.88
418,97.40
419,96.88
420,96.88
421,96.88
422,97.40
423,96.35
424,97.92
425,96.88
426,96.88
427,96.35
428,96.88
429,96.88
430,96.35
431,96.35
432,97.40
433,96.35
434,96.35
435,96.35
436,95.83
437,96.88
438,96.35
439,97.40
440,96.88
441,96.88
442,97.40
443,96.35
444,97.92
445,96.88
446,97.92
447,96.35
448,96.35
449,96.35
450,97.40
451,96.88
452,96.88
453,96.88
454,96.35
455,97.92
456,97.40
457,97.40
458,96.88
459,96.35
460,96.88
461,96.88
462,97.40
463,96.35
464,96.35
465,96.88
466,96.88
467,97.92
468,96.35
469,96.88
470,96.35
471,96.35
472,96.88
473,97.92
474,97.92
475,96.88
476,96.88
477,96.88
478,96.35
479,96.35
480,96.88
481,96.88
482,96.35
483,95.83
484,95.83
485,96.88
486,97.40
487,97.92
488,96.35
489,96.35
490,97.40
491,97.92
492,96.35
493,97.92
494,97.40
495,96.88
496,96.88
497,97.92
498,96.88
499,97.92
