epoch,accuracy
0,34.91
1,45.04
2,51.94
3,51.94
4,61.42
5,63.58
6,67.67
7,71.98
8,76.08
9,75.65
10,79.53
11,81.47
12,85.78
13,87.07
14,84.91
15,82.33
16,88.36
17,87.72
18,86.64
19,89.87
20,89.66
21,90.95
22,91.38
23,92.89
24,93.10
25,92.24
26,90.52
27,93.75
28,92.03
29,91.38
30,94.61
31,93.97
32,96.34
33,96.34
34,93.32
35,93.75
36,96.55
37,96.77
38,95.69
39,94.40
40,93.53
41,94.83
42,96.55
43,96.12
44,94.61
45,94.83
46,95.91
47,98.92
48,97.63
49,94.61
50,95.47
51,96.34
52,96.98
53,97.84
54,97.63
55,96.12
56,95.91
57,97.41
58,96.98
59,97.84
60,98.92
61,98.49
62,97.41
63,96.34
64,96.77
65,96.77
66,96.34
67,98.28
68,97.20
69,96.98
70,97.41
71,95.69
72,97.84
73,97.41
74,97.63
75,98.28
76,98.28
77,98.49
78,97.84
79,97.20
80,97.63
81,98.71
82,96.77
83,97.20
84,97.84
85,98.28
86,97.84
87,98.06
88,97.84
89,97.20
90,97.63
91,96.98
92,96.98
93,98.28
94,98.28
95,98.49
96,96.98
97,98.49
98,98.92
99,98.71
100,98.92
101,98.06
102,99.14
103,97.63
104,98.71
105,97.41
106,98.49
107,98.28
108,96.34
109,97.63
110,98.49
111,98.92
112,98.28
113,99.57
114,99.35
115,99.35
116,98.49
117,99.35
118,99.35
119,99.57
120,99.35
121,99.14
122,98.71
123,99.14
124,99.14
125,99.14
126,98.71
127,98.28
128,97.84
129,98.28
130,98.49
131,99.35
132,99.57
133,99.78
134,99.14
135,98.92
136,98.49
137,97.63
138,98.49
139,98.06
140,98.06
141,98.92
142,99.35
143,98.71
144,98.71
145,97.84
146,98.28
147,98.92
148,98.49
149,99.57
150,100.00
151,98.28
152,98.06
153,98.49
154,99.78
155,98.92
156,99.35
157,99.14
158,99.57
159,98.06
160,98.92
161,98.92
162,99.78
163,100.00
164,98.49
165,98.28
166,100.00
167,99.35
168,99.78
169,99.14
170,99.78
171,98.92
172,98.92
173,99.57
174,100.00
175,100.00
176,99.78
177,99.57
178,100.00
179,99.35
180,100.00
181,99.57
182,100.00
183,99.57
184,99.14
185,99.78
186,98.71
187,99.14
188,98.28
189,98.49
190,98.49
191,98.28
192,99.78
193,98.92
194,99.14
195,99.14
196,99.14
197,99.14
198,99.35
199,99.14
200,97.63
201,98.06
202,98.06
203,99.35
204,98.92
205,98.71
206,99.35
207,99.78
208,98.92
209,99.14
210,98.92
211,98.92
212,99.57
213,100.00
214,99.78
215,100.00
216,98.92
217,98.71
218,99.57
219,99.14
220,99.14
221,99.35
222,99.78
223,99.78
224,99.78
225,99.57
226,99.57
227,99.78
228,99.57
229,99.35
230,99.35
231,99.78
232,99.78
233,99.57
234,99.35
235,99.35
236,98.06
237,98.71
238,98.71
239,99.78
240,100.00
241,100.00
242,99.57
243,99.35
244,99.14
245,98.71
246,100.00
247,99.14
248,100.00
249,99.57
250,99.57
251,99.57
252,100.00
253,99.78
254,99.78
255,100.00
256,99.78
257,100.00
258,99.57
259,99.35
260,99.78
261,99.78
262,99.14
263,100.00
264,99.78
265,100.00
266,100.00
267,99.78
268,100.00
269,100.00
270,100.00
271,100.00
272,99.78
273,99.78
274,100.00
275,100.00
276,99.57
277,100.00
278,100.00
279,100.00
280,99.78
281,100.00
282,99.57
283,100.00
284,99.78
285,100.00
286,100.00
287,100.00
288,100.00
289,99.14
290,99.78
291,100.00
292,100.00
293,100.00
294,99.78
295,99.78
296,100.00
297,99.57
298,100.00
299,100.00
300,100.00
301,100.00
302,100.00
303,99.78
304,99.78
305,100.00
306,100.00
307,100.00
308,99.78
309,100.00
310,100.00
311,99.57
312,99.78
313,100.00
314,100.00
315,100.00
316,100.00
317,100.00
318,99.78
319,100.00
320,100.00
321,99.57
322,100.00
323,99.14
324,100.00
325,99.78
326,99.78
327,100.00
328,99.78
329,100.00
330,100.00
331,99.78
332,99.78
333,100.00
334,99.78
335,99.78
336,100.00
337,99.78
338,100.00
339,99.78
340,99.78
341,100.00
342,100.00
343,99.78
344,100.00
345,100.00
346,100.00
347,100.00
348,99.78
349,99.78
350,100.00
351,99.57
352,99.78
353,100.00
354,99.78
355,100.00
356,99.57
357,100.00
358,100.00
359,100.00
360,100.00
361,99.78
362,100.00
363,100.00
364,99.78
365,100.00
366,100.00
367,100.00
368,99.57
369,100.00
370,100.00
371,99.78
372,100.00
373,99.78
374,99.78
375,100.00
376,99.78
377,100.00
378,99.78
379,100.00
380,100.00
381,100.00
382,100.00
383,100.00
384,100.00
385,100.00
386,99.78
387,100.00
388,100.00
389,99.57
390,100.00
391,100.00
392,99.78
393,99.57
394,100.00
395,99.78
396,100.00
397,100.00
398,99.57
399,100.00
400,99.78
401,100.00
402,99.78
403,100.00
404,100.00
405,100.00
406,100.00
407,99.57
408,100.00
409,100.00
410,100.00
411,100.00
412,100.00
413,99.57
414,99.78
415,99.78
416,100.00
417,100.00
418,99.57
419,99.78
420,100.00
421,100.00
422,100.00
423,100.00
424,99.78
425,99.57
426,99.78
427,100.00
428,99.78
429,100.00
430,100.00
431,100.00
432,100.00
433,100.00
434,100.00
435,99.35
436,100.00
437,100.00
438,100.00
439,100.00
440,100.00
441,99.78
442,99.57
443,100.00
444,100.00
445,99.78
446,100.00
447,100.00
448,100.00
449,100.00
450,100.00
451,99.57
452,100.00
453,100.00
454,100.00
455,100.00
456,99.78
457,99.78
458,99.78
459,100.00
460,100.00
461,100.00
462,100.00
463,99.78
464,100.00
465,100.00
466,100.00
467,100.00
468,100.00
469,100.00
470,100.00
471,100.00
472,100.00
473,100.00
474,100.00
475,100.00
476,100.00
477,100.00
478,100.00
479,99.78
480,100.00
481,100.00
482,100.00
483,99.78
484,100.00
485,100.00
486,100.00
487,100.00
488,100.00
489,99.57
490,100.00
491,99.78
492,100.00
493,100.00
494,100.00
495,100.00
496,100.00
497,100.00
498,99.78
499,100.00
