epoch,mean_loss
0,1.342290
1,1.211479
2,1.109612
3,1.055729
4,0.932260
5,0.865567
6,0.837275
7,0.708413
8,0.641402
9,0.600510
10,0.530605
11,0.482944
12,0.370567
13,0.409304
14,0.419887
15,0.496327
16,0.332916
17,0.291215
18,0.310880
19,0.312433
20,0.286414
21,0.271364
22,0.239424
23,0.191020
24,0.210853
25,0.227628
26,0.245663
27,0.193728
28,0.215999
29,0.217032
30,0.151645
31,0.156302
32,0.132863
33,0.107960
34,0.162544
35,0.230389
36,0.103030
37,0.097600
38,0.138528
39,0.138315
40,0.196787
41,0.161182
42,0.094499
43,0.095857
44,0.144327
45,0.145234
46,0.087148
47,0.043566
48,0.052045
49,0.138855
50,0.153932
51,0.122121
52,0.078246
53,0.047724
54,0.066928
55,0.106959
56,0.103848
57,0.068844
58,0.084895
59,0.057275
60,0.038438
61,0.043350
62,0.080780
63,0.100966
64,0.089084
65,0.096018
66,0.089758
67,0.069745
68,0.076527
69,0.097908
70,0.076504
71,0.116142
72,0.071396
73,0.080201
74,0.076138
75,0.039237
76,0.056273
77,0.043857
78,0.062938
79,0.090940
80,0.051913
81,0.047734
82,0.111536
83,0.084742
84,0.062093
85,0.048697
86,0.049219
87,0.051278
88,0.055410
89,0.070239
90,0.063594
91,0.085310
92,0.098510
93,0.056417
94,0.059128
95,0.039793
96,0.081000
97,0.041785
98,0.036135
99,0.037359
100,0.037943
101,0.053160
102,0.018775
103,0.060395
104,0.044853
105,0.077681
106,0.034357
107,0.058887
108,0.095703
109,0.063747
110,0.053347
111,0.032255
112,0.040463
113,0.022478
114,0.017285
115,0.017648
116,0.029740
117,0.023108
118,0.017252
119,0.011495
120,0.028195
121,0.027621
122,0.029078
123,0.022879
124,0.030362
125,0.025983
126,0.057135
127,0.075040
128,0.055892
129,0.051002
130,0.035427
131,0.033584
132,0.012257
133,0.009677
134,0.032205
135,0.015549
136,0.064411
137,0.071872
138,0.061424
139,0.062267
140,0.064210
141,0.028024
142,0.023779
143,0.022574
144,0.024759
145,0.062838
146,0.050719
147,0.026362
148,0.029689
149,0.011354
150,0.004589
151,0.060701
152,0.093299
153,0.047787
154,0.008390
155,0.024532
156,0.019457
157,0.028284
158,0.013818
159,0.054079
160,0.028328
161,0.027701
162,0.008717
163,0.003697
164,0.047334
165,0.036964
166,0.009283
167,0.018001
168,0.005381
169,0.019669
170,0.008790
171,0.041078
172,0.023013
173,0.014750
174,0.007507
175,0.005844
176,0.003651
177,0.010208
178,0.006443
179,0.018181
180,0.006094
181,0.008053
182,0.005633
183,0.010551
184,0.016893
185,0.007078
186,0.031824
187,0.040604
188,0.048232
189,0.039215
190,0.062924
191,0.073506
192,0.016170
193,0.027066
194,0.056548
195,0.033484
196,0.021992
197,0.041582
198,0.015838
199,0.028215
200,0.046482
201,0.086598
202,0.057057
203,0.017449
204,0.043245
205,0.029366
206,0.018900
