epoch,accuracy
0,34.90
1,34.38
2,47.40
3,42.71
4,52.60
5,53.65
6,59.90
7,57.29
8,68.75
9,62.50
10,64.58
11,68.23
12,78.12
13,82.81
14,79.69
15,60.94
16,77.60
17,82.29
18,83.85
19,79.69
20,78.12
21,84.90
22,80.73
23,78.12
24,84.90
25,88.54
26,88.02
27,83.33
28,82.29
29,90.62
30,88.02
31,89.58
32,89.06
33,88.54
34,90.10
35,85.94
36,91.67
37,93.75
38,93.23
39,90.10
40,91.15
41,89.06
42,92.19
43,88.02
44,92.19
45,91.15
46,91.67
47,94.27
48,93.23
49,91.67
50,90.62
51,93.75
52,94.79
53,92.19
54,93.23
55,90.62
56,91.15
57,93.75
58,95.83
59,94.79
60,86.46
61,91.15
62,94.27
63,88.54
64,90.10
65,92.71
66,93.75
67,93.23
68,96.35
69,93.75
70,93.75
71,95.31
72,94.79
73,95.83
74,96.35
75,93.75
76,93.75
77,88.54
78,93.23
79,94.79
80,95.83
81,93.75
82,91.67
83,94.79
84,95.31
85,93.23
86,93.23
87,94.27
88,93.23
89,93.23
90,96.88
91,97.92
92,94.27
93,95.31
94,93.75
95,93.75
96,93.23
97,94.27
98,95.83
99,93.23
100,92.19
101,95.83
102,96.35
103,92.71
104,96.88
105,96.35
106,95.83
107,95.83
108,93.75
109,95.31
110,95.31
111,96.35
112,94.79
113,96.35
114,94.79
115,96.88
116,95.31
117,95.31
118,95.83
119,96.88
120,95.31
121,94.79
122,93.75
123,96.35
124,94.27
125,96.35
126,94.79
127,94.27
128,94.27
129,95.31
130,93.75
131,95.31
132,95.31
133,93.23
134,95.83
135,92.19
136,93.23
137,94.79
138,93.75
139,91.15
140,93.75
141,95.83
142,94.79
143,93.23
144,93.23
145,94.79
146,95.83
147,96.35
148,96.35
149,95.31
150,97.40
151,95.83
152,95.31
153,97.40
154,95.83
155,92.71
156,94.27
157,96.35
158,96.88
159,96.88
160,94.79
161,96.35
162,95.83
163,97.40
164,97.92
165,97.40
166,97.40
167,98.44
168,98.44
169,98.44
170,98.96
171,98.44
172,99.48
173,98.96
174,92.71
175,93.75
176,95.31
177,96.88
178,97.40
179,93.23
180,94.27
181,96.35
182,91.15
183,94.27
184,96.88
185,94.79
186,93.75
187,94.27
188,96.88
189,96.35
190,94.27
191,94.27
192,96.35
193,94.79
194,94.27
195,95.31
196,93.23
197,93.75
198,94.79
199,95.83
200,96.35
201,95.83
202,96.35
203,94.79
204,96.35
205,97.92
206,95.31
207,94.27
208,96.35
209,96.88
210,95.31
211,91.15
212,94.79
213,94.79
214,95.31
215,97.40
216,95.31
217,96.35
218,97.40
219,97.40
220,97.40
221,97.40
222,97.40
223,97.40
224,96.35
225,96.88
226,96.35
227,96.35
228,95.31
229,96.35
230,96.35
231,95.83
232,95.31
233,95.31
234,96.88
235,93.75
236,95.83
237,96.88
238,96.88
239,95.83
240,96.35
241,94.27
242,95.31
243,94.79
244,97.40
245,96.88
246,96.35
247,96.35
248,97.40
249,97.92
250,97.92
251,97.92
252,97.40
253,97.40
254,96.88
255,97.92
256,97.40
257,97.40
258,96.88
259,97.40
260,96.35
261,97.92
262,96.35
263,97.92
264,96.35
265,96.35
266,96.88
267,97.40
268,96.88
269,96.35
270,96.88
271,97.92
272,96.35
273,96.35
274,97.40
275,96.88
276,96.88
277,96.35
278,96.88
279,96.88
280,97.40
281,96.88
282,96.88
283,96.35
284,96.88
285,96.88
286,96.88
287,96.35
288,96.88
289,96.35
290,96.35
291,96.35
292,96.35
293,96.88
294,98.44
295,96.88
296,96.88
297,96.35
298,96.88
299,97.40
300,96.88
301,96.88
302,96.88
303,96.35
304,96.88
305,96.88
306,96.88
307,96.88
308,97.92
309,96.88
310,96.35
311,96.88
312,96.88
313,96.88
314,96.88
315,96.88
316,97.40
317,96.88
318,96.88
319,96.35
320,97.40
321,96.88
322,96.88
323,96.88
324,96.88
325,96.88
326,96.88
327,96.88
328,96.88
329,97.40
330,97.40
331,97.40
332,96.88
333,96.88
334,97.40
335,96.88
336,97.40
337,96.88
338,96.88
339,96.88
340,96.88
341,97.40
342,96.88
343,97.40
344,96.88
345,96.88
346,97.40
347,96.88
348,96.88
349,96.88
350,96.88
351,96.88
352,96.35
353,96.88
354,96.88
355,97.40
356,96.88
357,97.40
358,97.40
359,96.88
360,97.40
361,97.40
362,96.88
363,96.88
364,96.88
365,97.40
366,96.88
367,96.88
368,96.88
369,97.40
370,96.88
371,96.88
372,97.40
373,97.40
374,96.88
375,96.88
376,96.88
377,96.88
378,96.88
379,96.88
380,96.88
381,96.88
382,97.40
383,96.88
384,96.35
385,96.88
386,96.88
387,97.40
388,96.88
389,96.88
390,96.88
391,96.88
392,96.35
393,97.92
394,96.88
395,97.40
396,97.40
397,96.88
398,96.88
399,97.40
400,97.40
401,96.88
402,96.88
403,96.88
404,96.88
405,97.40
406,96.88
407,96.88
408,97.40
409,96.88
410,96.88
411,96.88
412,96.88
413,96.88
414,96.88
415,96.88
416,96.88
417,97.40
418,97.40
419,96.88
420,97.40
421,96.88
422,97.40
423,97.40
424,96.88
425,96.88
426,96.88
427,96.88
428,96.88
429,96.88
430,96.88
431,96.88
432,96.88
433,96.88
434,96.88
435,96.88
436,96.88
437,96.88
438,96.88
439,96.88
440,96.88
441,96.88
442,97.40
443,97.40
444,97.40
445,97.40
446,96.35
447,96.88
448,96.88
449,96.88
450,96.88
451,96.88
452,97.40
453,96.88
454,97.40
455,97.40
456,96.88
457,96.88
458,96.88
459,96.88
460,96.88
461,96.88
462,97.40
463,97.40
464,97.40
465,97.40
466,96.88
467,96.88
468,96.88
469,97.40
470,96.88
471,96.88
472,96.88
473,96.88
474,97.92
475,97.40
476,96.88
477,96.88
478,96.88
479,96.88
480,97.40
481,96.88
482,96.88
483,97.40
484,96.88
485,96.88
486,97.92
487,96.88
488,96.88
489,96.88
490,97.40
491,96.88
492,96.88
493,96.88
494,96.88
495,96.35
496,97.40
497,97.40
498,96.88
499,96.88
