epoch,accuracy
0,37.72
1,39.01
2,47.20
3,54.96
4,56.68
5,60.13
6,70.04
7,68.53
8,69.61
9,74.78
10,72.20
11,82.54
12,78.66
13,83.41
14,80.60
15,82.54
16,79.96
17,85.99
18,85.56
19,88.15
20,87.50
21,87.72
22,91.59
23,87.07
24,87.72
25,90.73
26,88.79
27,94.18
28,91.38
29,93.10
30,92.46
31,93.75
32,93.32
33,94.18
34,92.67
35,94.61
36,93.10
37,93.53
38,95.04
39,96.34
40,96.12
41,94.18
42,94.40
43,95.26
44,95.04
45,95.91
46,93.53
47,95.91
48,96.55
49,95.91
50,96.34
51,96.77
52,97.41
53,96.98
54,94.61
55,96.77
56,95.47
57,96.77
58,96.98
59,96.98
60,95.04
61,95.69
62,98.71
63,96.77
64,96.12
65,96.12
66,96.55
67,94.40
68,96.34
69,96.12
70,96.34
71,97.84
72,96.34
73,98.28
74,97.84
75,98.06
76,96.77
77,97.63
78,96.77
79,98.28
80,96.34
81,97.84
82,97.63
83,98.49
84,98.71
85,98.49
86,98.71
87,96.98
88,97.63
89,98.49
90,96.98
91,98.71
92,98.71
93,97.41
94,98.49
95,97.63
96,97.84
97,98.49
98,96.77
99,98.28
100,98.49
101,98.06
102,98.71
103,98.49
104,98.28
105,99.14
106,98.49
107,98.28
108,97.63
109,97.41
110,98.06
111,99.35
112,99.14
113,98.71
114,95.91
115,97.63
116,99.35
117,98.71
118,100.00
119,99.35
120,99.35
121,98.92
122,98.49
123,98.71
124,99.14
125,99.35
126,99.14
127,96.34
128,97.41
129,99.78
130,97.41
131,99.35
132,99.14
133,98.06
134,99.78
135,99.14
136,98.71
137,99.35
138,99.14
139,99.57
140,100.00
141,99.57
142,99.57
143,99.57
144,98.49
145,97.41
146,98.92
147,99.14
148,97.41
149,98.92
150,98.92
151,98.92
152,98.06
153,99.14
154,98.49
155,99.14
156,99.57
157,99.78
158,99.78
159,99.14
160,99.14
161,98.71
162,99.57
163,98.28
164,99.57
165,99.35
166,98.92
167,99.57
168,99.78
169,99.78
170,99.78
171,100.00
172,100.00
173,99.78
174,98.06
175,96.55
176,98.49
177,99.78
178,99.14
179,99.57
180,98.28
181,99.14
182,98.06
183,97.20
184,98.49
185,98.71
186,98.92
187,98.71
188,98.92
189,99.14
190,99.35
191,99.35
192,99.78
193,99.35
194,97.63
195,98.71
196,97.84
197,98.71
198,99.14
199,99.57
200,99.57
201,99.14
202,99.14
203,98.71
204,99.57
205,99.57
206,98.92
207,99.14
208,99.14
209,100.00
210,100.00
211,99.35
212,98.71
213,98.71
214,99.35
215,99.35
216,99.57
217,99.78
218,99.57
219,99.35
220,99.78
221,98.92
222,98.71
223,99.78
224,99.57
225,99.78
226,100.00
227,99.57
228,99.14
229,99.35
230,99.78
231,99.78
232,99.14
233,99.78
234,99.57
235,97.20
236,97.63
237,99.35
238,98.28
239,99.14
240,99.35
241,99.35
242,99.14
243,99.14
244,99.57
245,99.57
246,99.14
247,99.57
248,99.14
249,100.00
250,99.78
251,99.78
252,99.57
253,99.78
254,99.78
255,100.00
256,99.78
257,99.78
258,99.78
259,99.35
260,100.00
261,100.00
262,100.00
263,99.35
264,99.78
265,99.78
266,99.78
267,99.78
268,99.78
