epoch,mean_loss
0,1.345510
1,1.248354
2,1.131242
3,1.060238
4,1.039598
5,0.954710
6,0.778218
7,0.806466
8,0.752543
9,0.661221
10,0.659176
11,0.486333
12,0.513610
13,0.453581
14,0.470345
15,0.498888
16,0.529258
17,0.396363
18,0.394629
19,0.349206
20,0.322324
21,0.310525
22,0.225983
23,0.370806
24,0.312417
25,0.250918
26,0.337424
27,0.208384
28,0.240534
29,0.195077
30,0.260156
31,0.195209
32,0.198018
33,0.159350
34,0.194391
35,0.181746
36,0.178700
37,0.184427
38,0.130154
39,0.092379
40,0.100499
41,0.152174
42,0.177902
43,0.114812
44,0.145228
45,0.131089
46,0.190642
47,0.117834
48,0.102827
49,0.120302
50,0.125296
51,0.084786
52,0.093504
53,0.086250
54,0.181487
55,0.116832
56,0.114508
57,0.107082
58,0.079433
59,0.081804
60,0.126286
61,0.112882
62,0.050032
63,0.110759
64,0.089405
65,0.120274
66,0.101992
67,0.156058
68,0.105528
69,0.114144
70,0.108760
71,0.058926
72,0.080880
73,0.048986
74,0.067448
75,0.070422
76,0.101992
77,0.083191
78,0.087756
79,0.049904
80,0.093329
81,0.097776
82,0.074562
83,0.047899
84,0.050537
85,0.035108
86,0.036789
87,0.061068
88,0.058523
89,0.041899
90,0.084291
91,0.032315
92,0.037529
93,0.051618
94,0.049591
95,0.053005
96,0.072340
97,0.036615
98,0.075330
99,0.037069
100,0.049247
101,0.067758
102,0.040336
103,0.035967
104,0.030935
105,0.038138
106,0.053709
107,0.048650
108,0.069498
109,0.075654
110,0.061461
111,0.023469
112,0.018029
113,0.047288
114,0.127751
115,0.062651
116,0.032734
117,0.030186
118,0.010035
119,0.013525
120,0.026919
121,0.034495
122,0.044720
123,0.037237
124,0.030207
125,0.017817
126,0.030333
127,0.103687
128,0.079845
129,0.011244
130,0.062238
131,0.025245
132,0.030880
133,0.054413
134,0.011501
135,0.031041
136,0.035935
137,0.010709
138,0.029407
139,0.016542
140,0.009440
141,0.015929
142,0.011494
143,0.012072
144,0.053708
145,0.118203
146,0.033879
147,0.036017
148,0.060301
149,0.024474
150,0.032619
151,0.023814
152,0.030237
153,0.033090
154,0.054809
155,0.017914
156,0.014053
157,0.008622
158,0.006386
159,0.026388
160,0.017772
161,0.029144
162,0.021806
163,0.058771
164,0.009072
165,0.012883
166,0.023610
167,0.013531
168,0.009261
169,0.009789
170,0.006125
171,0.003521
