epoch,accuracy
0,53.65
1,64.58
2,54.17
3,73.96
4,80.73
5,74.48
6,81.77
7,74.48
8,81.25
9,89.58
10,92.71
11,80.73
12,93.23
13,81.25
14,93.75
15,94.79
16,92.19
17,95.31
18,87.50
19,93.23
20,95.31
21,89.06
22,95.83
23,91.15
24,88.54
25,91.15
26,88.54
27,94.79
28,95.83
29,87.50
30,95.31
31,96.35
32,88.54
33,96.35
34,96.35
35,93.75
36,95.31
37,94.79
38,95.31
39,97.40
40,94.79
41,96.35
42,97.40
43,94.79
44,96.35
45,95.83
46,92.71
47,94.27
48,95.83
49,95.83
50,96.35
51,97.92
52,95.31
53,96.88
54,93.75
55,94.27
56,95.31
57,93.75
58,96.35
59,96.35
60,95.31
61,97.40
62,96.35
63,94.27
64,93.23
65,96.88
66,97.40
67,95.83
68,95.31
69,94.79
70,96.88
71,96.88
72,96.88
73,95.83
74,96.35
75,97.40
76,96.88
77,98.44
78,95.83
79,95.83
80,96.88
81,96.35
82,96.35
83,94.27
84,93.23
85,96.35
86,95.83
87,96.88
88,96.35
89,95.83
90,96.35
91,96.35
92,96.35
93,96.88
94,97.40
95,97.40
96,95.83
97,96.35
98,95.31
99,96.88
100,96.88
101,96.88
102,96.88
103,95.31
104,95.83
105,92.71
106,95.31
107,99.48
108,95.83
109,97.92
110,97.40
111,97.92
112,97.92
113,95.83
114,95.83
115,96.35
116,96.35
117,98.44
118,96.88
119,95.31
120,95.83
121,95.83
122,96.35
123,95.83
124,96.35
125,98.96
126,96.35
127,96.35
128,98.96
129,96.35
130,97.40
131,98.96
132,97.92
133,94.79
134,96.35
135,97.92
136,95.31
137,99.48
138,97.40
139,98.96
140,95.83
141,96.88
142,97.92
143,98.44
144,97.92
145,99.48
146,98.96
147,96.35
148,97.92
149,100.00
150,99.48
151,97.92
152,95.83
153,98.96
154,98.96
155,97.40
156,99.48
157,98.44
158,96.35
159,96.88
160,98.44
161,98.96
162,98.96
163,98.96
164,98.96
165,98.96
166,99.48
167,99.48
168,97.40
169,98.96
170,98.44
171,98.44
172,99.48
173,97.92
174,99.48
175,98.96
176,96.35
177,99.48
178,97.92
179,96.88
180,98.96
181,99.48
182,98.96
183,98.44
184,100.00
185,100.00
186,100.00
187,100.00
188,99.48
189,99.48
190,99.48
191,99.48
192,98.96
193,99.48
194,99.48
195,99.48
196,99.48
197,98.96
198,98.96
199,98.44
200,98.44
201,98.96
202,99.48
203,99.48
204,95.83
205,98.44
206,98.96
207,98.96
208,98.44
209,96.35
210,98.44
211,98.96
212,98.96
213,95.31
214,97.40
215,98.44
216,98.96
217,99.48
218,98.96
219,96.88
220,98.44
221,98.44
222,97.92
223,97.40
224,98.96
225,96.88
226,96.88
227,97.40
228,99.48
229,99.48
230,99.48
231,99.48
232,99.48
233,99.48
234,100.00
235,100.00
236,99.48
237,97.92
238,97.40
239,98.44
240,97.92
241,98.96
242,99.48
243,97.40
244,98.96
245,97.92
246,97.92
247,98.96
248,97.92
249,97.92
250,97.92
251,97.92
252,97.92
253,97.92
254,97.92
255,97.92
256,97.92
257,98.44
258,97.92
259,98.44
260,98.44
261,97.92
262,97.92
263,97.92
264,98.44
265,97.92
266,97.92
267,97.92
268,98.44
269,97.92
