epoch,accuracy
0,51.08
1,60.34
2,63.58
3,67.03
4,72.20
5,76.29
6,81.90
7,84.70
8,86.85
9,89.44
10,91.16
11,91.16
12,87.72
13,89.22
14,91.59
15,94.61
16,96.12
17,93.97
18,92.46
19,92.89
20,92.67
21,94.18
22,95.91
23,96.12
24,94.83
25,95.69
26,92.67
27,96.34
28,97.84
29,96.55
30,96.55
31,95.47
32,96.12
33,95.91
34,96.12
35,97.20
36,96.98
37,98.06
38,97.20
39,97.20
40,97.20
41,96.98
42,97.63
43,97.63
44,97.63
45,97.41
46,95.91
47,97.20
48,95.69
49,98.06
50,98.06
51,96.55
52,97.84
53,98.28
54,98.28
55,97.41
56,98.49
57,98.71
58,98.49
59,97.84
60,95.69
61,98.71
62,98.71
63,97.63
64,97.20
65,99.35
66,98.49
67,98.92
68,99.14
69,97.41
70,96.55
71,97.41
72,98.06
73,98.49
74,99.35
75,99.57
76,99.14
77,99.14
78,98.71
79,99.78
80,99.78
81,99.57
82,98.28
83,96.98
84,97.20
85,96.34
86,97.84
87,99.14
88,99.35
89,99.78
90,99.78
91,99.78
92,100.00
93,100.00
94,99.35
95,100.00
96,99.14
97,98.71
98,99.35
99,97.63
100,97.63
101,98.71
102,99.57
103,98.71
104,99.78
105,97.20
106,98.49
107,98.28
108,99.35
109,100.00
110,99.35
111,99.14
112,99.57
113,98.92
114,98.28
115,97.63
116,98.49
117,98.71
118,98.28
119,98.28
120,99.35
121,99.78
122,99.57
123,99.78
124,99.78
125,99.57
126,99.78
127,99.57
128,99.14
129,98.71
130,99.14
131,99.78
132,98.92
133,98.92
134,99.35
135,99.78
136,99.14
137,97.84
138,99.35
139,99.78
140,99.35
141,99.14
142,99.78
143,98.49
144,98.49
145,98.28
146,98.49
147,97.63
148,99.35
149,99.78
150,100.00
151,99.35
152,97.63
153,97.84
154,99.14
155,98.71
156,98.71
157,99.57
158,99.35
159,99.14
160,99.35
161,98.49
162,98.49
163,99.57
164,99.35
165,99.57
166,99.57
167,99.14
168,98.71
169,99.35
170,100.00
171,100.00
172,99.35
173,99.57
174,99.57
175,99.78
176,98.71
177,99.78
178,99.78
179,98.49
180,99.57
181,99.57
182,99.78
183,99.78
184,99.35
185,99.57
186,100.00
187,100.00
188,100.00
189,100.00
190,99.78
191,99.78
192,99.78
193,99.78
194,100.00
195,99.57
196,100.00
197,99.57
198,99.35
199,99.57
200,99.78
201,100.00
202,99.78
203,99.78
204,99.35
205,99.78
206,98.49
207,99.78
208,98.49
209,99.14
210,98.06
211,99.78
212,98.71
213,98.28
214,99.14
215,98.06
216,98.71
217,99.35
218,98.71
219,99.35
220,98.92
221,99.14
222,99.57
223,99.35
224,99.14
225,99.35
226,98.49
227,99.35
228,99.57
229,99.78
230,99.35
231,100.00
232,100.00
233,99.35
234,98.92
235,98.92
236,99.35
237,99.57
238,99.57
239,99.35
240,99.57
241,100.00
242,99.78
243,99.78
244,98.92
245,99.78
246,99.78
247,100.00
248,100.00
249,99.78
250,99.78
