epoch,accuracy
0,55.21
1,55.21
2,66.15
3,70.31
4,76.04
5,70.83
6,70.83
7,77.60
8,79.17
9,87.50
10,89.06
11,89.58
12,86.46
13,88.54
14,89.58
15,95.31
16,90.10
17,92.71
18,94.27
19,91.67
20,92.19
21,95.83
22,95.31
23,91.15
24,94.27
25,95.31
26,92.71
27,97.40
28,96.88
29,96.88
30,94.79
31,96.88
32,89.58
33,96.88
34,95.31
35,94.27
36,97.40
37,95.31
38,97.40
39,93.75
40,97.92
41,94.79
42,96.35
43,96.88
44,95.31
45,96.88
46,98.96
47,98.96
48,96.88
49,95.83
50,96.88
51,95.83
52,96.88
53,97.92
54,98.96
55,98.96
56,97.40
57,98.96
58,98.96
59,96.35
60,93.23
61,97.40
62,96.88
63,95.83
64,95.31
65,92.19
66,99.48
67,93.75
68,96.35
69,97.40
70,96.88
71,94.79
72,98.44
73,100.00
74,97.92
75,96.35
76,96.88
77,97.40
78,97.40
79,97.92
80,97.92
81,97.40
82,95.83
83,97.92
84,97.92
85,97.92
86,96.88
87,94.79
88,97.40
89,96.35
90,97.92
91,97.92
92,98.96
93,98.96
94,98.96
95,98.96
96,98.96
97,98.96
98,98.96
99,97.92
100,98.96
101,97.92
102,98.44
103,97.92
104,96.35
105,98.44
106,98.96
107,98.96
108,97.92
109,97.92
110,98.96
111,97.92
112,97.40
113,98.96
114,98.44
115,98.44
116,98.44
117,98.44
118,97.92
119,97.40
120,95.83
121,96.88
122,97.92
123,96.35
124,96.35
125,95.83
126,98.44
127,99.48
128,97.40
129,96.35
130,96.88
131,98.96
132,98.96
133,98.96
134,98.96
135,100.00
136,99.48
137,98.44
138,100.00
139,100.00
140,100.00
141,98.96
142,100.00
143,98.96
144,98.96
145,98.96
146,98.44
147,99.48
148,98.96
149,99.48
150,97.92
151,99.48
152,96.88
153,95.83
154,98.44
155,98.44
156,98.96
157,98.44
158,99.48
159,98.96
160,97.92
161,98.44
162,99.48
163,99.48
164,99.48
165,98.96
166,98.96
167,98.96
168,97.40
169,96.35
170,97.40
171,99.48
172,100.00
173,97.92
174,98.96
175,98.96
176,100.00
177,97.92
178,98.96
179,94.79
180,96.35
