epoch,accuracy
0,47.20
1,56.90
2,64.87
3,72.20
4,74.78
5,78.88
6,83.19
7,81.90
8,86.85
9,87.28
10,90.95
11,91.16
12,89.22
13,91.16
14,92.89
15,92.03
16,91.16
17,92.24
18,93.53
19,94.83
20,89.66
21,92.89
22,96.34
23,95.26
24,93.10
25,96.12
26,93.10
27,96.34
28,98.28
29,97.41
30,95.47
31,98.06
32,96.55
33,96.34
34,95.26
35,96.55
36,97.84
37,96.77
38,95.26
39,96.55
40,97.84
41,97.41
42,94.40
43,93.97
44,97.41
45,95.69
46,98.71
47,98.06
48,98.49
49,98.28
50,97.84
51,97.20
52,98.49
53,97.84
54,98.28
55,98.49
56,99.14
57,98.71
58,99.35
59,97.41
60,97.41
61,98.92
62,98.06
63,98.06
64,97.41
65,98.06
66,99.35
67,98.49
68,98.06
69,97.84
70,98.49
71,98.06
72,98.92
73,98.71
74,96.55
75,96.12
76,99.35
77,98.71
78,99.57
79,98.28
80,98.92
81,98.06
82,98.49
83,98.92
84,98.49
85,97.41
86,97.84
87,95.69
88,95.91
89,97.41
90,96.55
91,98.92
92,99.57
93,99.14
94,99.14
95,98.92
96,99.14
97,98.49
98,98.49
99,99.35
100,99.35
101,99.35
102,98.71
103,99.78
104,98.49
105,99.14
106,98.28
107,98.49
108,98.71
109,99.14
110,99.35
111,99.35
112,98.92
113,98.28
114,100.00
115,99.78
116,100.00
117,98.92
118,99.57
119,99.35
120,99.14
121,98.49
122,98.92
123,98.49
124,99.14
125,98.28
126,98.92
127,98.71
128,98.06
129,98.06
130,98.71
131,98.06
132,99.14
133,99.57
134,99.57
135,99.57
136,99.35
137,99.14
138,99.57
139,99.35
140,99.14
141,99.35
142,99.57
143,99.35
144,99.57
145,99.57
146,99.78
147,99.57
148,99.78
149,100.00
150,99.57
151,99.57
152,99.35
153,99.78
154,99.35
155,100.00
156,99.78
157,99.35
158,99.14
159,99.57
160,99.78
161,99.57
162,99.57
163,99.35
164,98.71
165,98.49
166,99.78
167,99.57
168,99.35
169,98.71
170,99.35
171,99.78
172,98.71
173,99.35
174,99.35
175,99.57
176,98.28
177,99.35
178,99.57
179,99.14
180,99.35
181,99.14
182,99.57
183,98.92
184,98.92
185,98.92
186,98.71
187,99.78
188,99.14
189,99.35
190,100.00
191,99.57
192,99.78
193,99.14
194,98.92
195,99.57
196,98.92
197,98.06
198,97.84
199,99.57
200,98.71
201,99.14
202,99.57
203,99.35
204,98.92
205,99.57
206,99.57
207,99.78
208,99.57
209,99.35
210,100.00
211,100.00
212,99.78
213,99.57
214,99.14
215,99.57
216,99.78
217,99.35
218,99.57
219,99.57
220,99.78
221,99.35
222,99.78
223,99.35
224,100.00
225,99.78
226,99.78
227,99.78
228,100.00
229,100.00
230,100.00
231,99.78
232,99.78
233,99.78
234,99.35
235,99.57
236,100.00
237,99.57
238,100.00
239,100.00
240,99.35
241,99.35
242,100.00
243,99.35
244,99.57
245,99.35
246,99.78
247,99.35
248,98.49
249,99.35
250,100.00
251,99.57
252,99.78
253,99.57
254,99.78
255,100.00
256,100.00
257,99.78
258,100.00
259,100.00
260,100.00
261,100.00
262,100.00
263,100.00
264,100.00
265,99.78
266,99.78
267,99.57
268,100.00
269,99.78
270,99.78
271,100.00
272,100.00
273,100.00
274,100.00
275,100.00
276,100.00
277,99.78
278,100.00
279,99.78
280,99.78
281,99.78
282,100.00
283,100.00
284,100.00
285,100.00
286,99.78
287,100.00
288,99.78
289,99.78
290,100.00
291,99.78
292,100.00
293,100.00
294,99.78
295,100.00
296,99.78
297,100.00
298,100.00
299,100.00
300,100.00
301,100.00
302,100.00
303,100.00
304,100.00
305,100.00
306,99.78
307,100.00
308,100.00
309,100.00
310,100.00
311,100.00
312,100.00
313,100.00
314,100.00
315,100.00
316,100.00
317,99.57
318,100.00
319,100.00
320,100.00
321,100.00
322,100.00
323,100.00
324,100.00
325,100.00
326,100.00
327,100.00
328,100.00
329,99.57
330,100.00
331,100.00
332,100.00
333,99.78
334,100.00
335,100.00
336,99.78
337,100.00
338,100.00
339,100.00
340,99.57
341,99.78
342,100.00
343,99.78
344,99.57
345,100.00
346,100.00
347,100.00
348,100.00
349,100.00
350,100.00
351,100.00
352,99.78
353,100.00
354,100.00
355,100.00
356,100.00
357,100.00
358,100.00
359,100.00
360,100.00
361,99.78
362,99.78
363,99.78
364,100.00
365,100.00
366,100.00
367,99.78
368,100.00
369,99.78
370,99.57
371,100.00
372,99.57
373,100.00
374,100.00
375,99.57
376,99.78
377,100.00
378,100.00
379,100.00
380,99.78
381,100.00
382,100.00
383,99.57
384,100.00
385,100.00
386,100.00
387,100.00
388,100.00
389,100.00
390,99.78
391,99.78
392,100.00
393,100.00
394,100.00
395,100.00
396,100.00
397,100.00
398,100.00
399,100.00
400,100.00
401,100.00
402,99.78
403,99.78
404,100.00
405,99.14
406,100.00
407,99.78
408,100.00
409,100.00
410,99.78
411,99.78
412,100.00
413,100.00
414,100.00
415,100.00
416,100.00
417,99.35
418,100.00
419,99.78
420,100.00
421,99.78
422,99.78
423,100.00
424,100.00
425,100.00
426,100.00
