epoch,mean_loss
0,1.278420
1,1.009507
2,0.844509
3,0.699735
4,0.599849
5,0.513349
6,0.431743
7,0.418683
8,0.324831
9,0.319296
10,0.268432
11,0.230089
12,0.285592
13,0.251513
14,0.195405
15,0.208005
16,0.212731
17,0.218823
18,0.182842
19,0.121487
20,0.271787
21,0.184631
22,0.121060
23,0.145892
24,0.173555
25,0.094184
26,0.160055
27,0.088762
28,0.057752
29,0.081842
30,0.119183
31,0.064007
32,0.109968
33,0.102718
34,0.109097
35,0.099379
36,0.068812
37,0.084900
38,0.124614
39,0.099578
40,0.063092
41,0.083887
42,0.139048
43,0.161835
44,0.099962
45,0.113003
46,0.048340
47,0.052494
48,0.048994
49,0.039637
50,0.071559
51,0.081468
52,0.036320
53,0.057628
54,0.050877
55,0.036752
56,0.029061
57,0.043386
58,0.023441
59,0.066718
60,0.062684
61,0.037427
62,0.066388
63,0.064112
64,0.086822
65,0.047547
66,0.025820
67,0.041519
68,0.048968
69,0.051934
70,0.063494
71,0.045887
72,0.049181
73,0.031944
74,0.093245
75,0.098951
76,0.026523
77,0.033417
78,0.014100
79,0.045485
80,0.028349
81,0.059942
82,0.040914
83,0.030923
84,0.038228
85,0.096437
86,0.052782
87,0.128147
88,0.093049
89,0.086931
90,0.099061
91,0.040386
92,0.019926
93,0.028621
94,0.032121
95,0.030435
96,0.019464
97,0.036562
98,0.056463
99,0.030944
100,0.032347
101,0.015714
102,0.035619
103,0.012470
104,0.046368
105,0.021995
106,0.063155
107,0.031451
108,0.032056
109,0.043665
110,0.022512
111,0.015667
112,0.026399
113,0.039328
114,0.009262
115,0.009463
116,0.004165
117,0.026398
118,0.015073
119,0.031773
120,0.019497
121,0.050895
122,0.035901
123,0.046003
124,0.026053
125,0.046425
126,0.037659
127,0.045381
128,0.066801
129,0.045843
130,0.036507
131,0.068727
132,0.039499
133,0.020423
134,0.021207
135,0.011941
136,0.022626
137,0.015203
138,0.011676
139,0.023846
140,0.016303
141,0.013770
142,0.016297
143,0.018528
144,0.007475
145,0.012102
146,0.004413
147,0.008397
148,0.005742
149,0.003369
150,0.011935
151,0.018357
152,0.013545
153,0.009162
154,0.015298
155,0.004883
156,0.007052
157,0.010886
158,0.021703
159,0.014648
160,0.012338
161,0.011771
162,0.010035
163,0.011739
164,0.040876
165,0.059325
166,0.009960
167,0.012736
168,0.014177
169,0.044880
170,0.016227
171,0.007622
172,0.023720
173,0.017098
174,0.015591
175,0.017010
176,0.042283
177,0.020858
178,0.019964
179,0.026841
180,0.023065
181,0.028355
182,0.014045
183,0.034029
184,0.048715
185,0.022209
186,0.035778
187,0.014296
188,0.017119
189,0.024385
190,0.009697
191,0.015234
192,0.006767
193,0.020698
194,0.031736
195,0.015570
196,0.039717
197,0.052666
198,0.062710
199,0.019761
200,0.042927
201,0.017199
202,0.015923
203,0.020639
204,0.031909
205,0.012754
206,0.017408
207,0.011977
208,0.012427
209,0.025266
210,0.003126
211,0.004035
212,0.005634
213,0.023612
214,0.015487
215,0.012918
216,0.011320
217,0.017494
218,0.016950
219,0.025843
220,0.009645
221,0.015395
222,0.005072
223,0.013488
224,0.003551
225,0.007549
226,0.006512
227,0.007538
228,0.002345
229,0.003659
230,0.001702
231,0.003559
232,0.003432
233,0.008589
234,0.024993
235,0.008799
236,0.001610
237,0.007147
238,0.001036
239,0.000919
240,0.016545
241,0.015205
242,0.001843
243,0.028147
244,0.011481
245,0.012266
246,0.004983
247,0.014926
248,0.038895
249,0.014211
250,0.001813
251,0.021702
252,0.009036
253,0.007850
254,0.003392
255,0.002371
256,0.001858
257,0.009888
258,0.001819
259,0.001108
260,0.000930
261,0.001281
262,0.002832
263,0.001075
264,0.000667
265,0.003527
266,0.003890
267,0.014569
268,0.002417
269,0.005352
270,0.003679
271,0.003670
272,0.000817
273,0.001696
274,0.000205
275,0.001395
276,0.002162
277,0.003505
278,0.001050
279,0.004518
280,0.012232
281,0.006415
282,0.000455
283,0.003310
284,0.001750
285,0.001668
286,0.004073
287,0.002431
288,0.007100
289,0.003401
290,0.001145
291,0.007373
292,0.000596
293,0.000725
294,0.007250
295,0.001198
296,0.005966
297,0.000591
298,0.002695
299,0.002526
300,0.000409
301,0.001855
302,0.001225
303,0.001901
304,0.001404
305,0.002539
306,0.004326
307,0.000695
308,0.003519
309,0.001214
310,0.000368
311,0.002010
312,0.001042
313,0.001964
314,0.001302
315,0.000160
316,0.001265
317,0.007777
318,0.001006
319,0.002128
320,0.001574
321,0.003524
322,0.000966
323,0.000480
324,0.001217
325,0.001053
326,0.000775
327,0.000251
328,0.001550
329,0.007619
330,0.000789
331,0.001156
332,0.000597
333,0.003392
334,0.001214
335,0.000282
336,0.010295
337,0.000371
338,0.001063
339,0.001112
340,0.020677
341,0.002812
342,0.000304
343,0.002548
344,0.007207
345,0.000809
346,0.003046
347,0.000816
348,0.000207
349,0.001423
350,0.000168
351,0.001571
352,0.005594
353,0.000518
354,0.000431
355,0.000415
356,0.002082
357,0.000278
358,0.001566
359,0.002478
360,0.000433
361,0.004905
362,0.004585
363,0.007372
364,0.000308
365,0.001136
366,0.000413
367,0.003521
368,0.000789
369,0.004424
370,0.013627
371,0.002252
372,0.005993
373,0.001991
374,0.001764
375,0.014727
376,0.002525
377,0.000131
378,0.001405
379,0.000543
380,0.006462
381,0.000509
382,0.000244
383,0.006358
384,0.001261
385,0.000222
386,0.003496
387,0.000398
388,0.000202
389,0.001085
390,0.005133
391,0.004268
392,0.003511
393,0.000704
394,0.000192
395,0.000990
396,0.001241
397,0.001631
398,0.001284
399,0.000184
400,0.001432
401,0.000500
402,0.002939
403,0.003125
404,0.001028
405,0.015087
406,0.001044
407,0.004985
408,0.000209
409,0.000772
410,0.001894
411,0.002502
412,0.000939
413,0.001010
414,0.000383
415,0.000894
416,0.001866
417,0.015690
418,0.000501
419,0.005198
420,0.000793
421,0.004206
422,0.010480
423,0.001939
424,0.001321
425,0.001955
426,0.000293
427,0.001117
428,0.003087
429,0.002243
430,0.000662
431,0.001844
432,0.001590
433,0.001069
434,0.008779
435,0.000162
436,0.000564
437,0.000569
438,0.000262
439,0.014552
440,0.000891
441,0.000158
442,0.000868
443,0.000711
444,0.005387
445,0.003927
446,0.000593
447,0.002654
448,0.004806
449,0.000580
450,0.000491
451,0.000381
452,0.000553
453,0.000616
454,0.001287
455,0.000265
456,0.001178
457,0.002052
458,0.001705
459,0.001098
460,0.000673
461,0.001204
462,0.000304
463,0.000122
464,0.003593
465,0.003995
466,0.000368
467,0.000279
468,0.000209
469,0.003599
470,0.000390
471,0.000737
472,0.000764
473,0.000232
474,0.000159
475,0.000760
476,0.000256
477,0.002442
478,0.000867
479,0.001172
480,0.001881
481,0.000371
482,0.012411
483,0.001424
484,0.002042
485,0.000341
486,0.004658
487,0.000298
488,0.004192
489,0.000219
490,0.000934
491,0.001940
492,0.000198
493,0.000521
494,0.000350
495,0.005908
496,0.000667
497,0.002680
498,0.000384
499,0.000420
