epoch,accuracy
0,53.65
1,55.21
2,68.75
3,72.92
4,74.48
5,77.08
6,71.88
7,90.62
8,84.38
9,83.33
10,87.50
11,82.81
12,90.10
13,88.02
14,90.62
15,86.46
16,89.06
17,92.71
18,88.54
19,90.10
20,94.27
21,93.75
22,93.75
23,90.10
24,94.27
25,94.27
26,91.15
27,96.35
28,97.40
29,89.58
30,94.27
31,95.83
32,93.75
33,94.79
34,95.31
35,94.27
36,93.75
37,93.75
38,94.27
39,96.88
40,96.35
41,93.75
42,96.35
43,94.27
44,98.44
45,96.35
46,93.23
47,93.75
48,95.31
49,96.88
50,96.35
51,95.31
52,95.31
53,98.96
54,97.40
55,98.44
56,95.83
57,95.31
58,96.35
59,97.92
60,96.88
61,97.40
62,98.96
63,97.92
64,97.40
65,97.92
66,93.75
67,91.67
68,95.83
69,97.92
70,98.96
71,97.92
72,97.92
73,93.23
74,95.31
75,98.44
76,95.83
77,93.23
78,95.83
79,96.35
80,97.40
81,94.79
82,88.54
83,97.40
84,97.40
85,97.40
86,93.75
87,97.40
88,95.83
89,95.31
90,94.79
91,96.35
92,96.35
93,94.27
94,95.83
95,95.83
96,98.44
97,96.35
98,96.88
99,97.40
100,97.40
101,97.92
102,98.44
103,97.40
104,95.31
105,95.83
106,97.92
107,94.79
108,96.35
109,96.88
110,96.35
111,95.83
112,98.44
113,96.88
114,98.96
115,98.96
116,98.96
117,97.92
118,96.35
119,96.88
120,95.83
121,96.35
122,97.40
123,98.44
124,99.48
125,98.96
126,98.96
127,98.96
128,96.88
129,97.92
130,96.35
131,97.40
132,96.35
133,98.44
134,97.92
135,97.40
136,96.88
137,96.88
138,96.88
139,96.88
140,97.92
141,96.88
142,98.96
143,98.44
144,95.83
145,96.35
146,97.92
147,97.92
148,97.40
149,97.40
150,97.40
151,96.88
152,97.92
153,96.35
154,97.40
155,96.88
156,98.44
157,97.40
158,97.92
159,96.88
160,98.44
161,96.35
162,99.48
163,99.48
164,97.92
165,96.35
166,94.79
167,95.83
168,95.83
169,96.35
170,96.35
171,96.88
172,96.88
173,96.88
174,98.44
175,97.92
176,97.92
177,98.44
178,98.44
179,97.92
180,97.40
181,98.44
182,97.40
183,96.88
184,97.40
185,96.88
186,97.40
187,97.40
188,97.92
189,98.44
190,97.92
191,98.44
192,98.96
193,98.44
194,97.92
195,98.96
196,98.96
197,98.96
198,98.96
199,98.96
200,98.44
201,98.44
202,97.40
203,98.96
204,98.96
205,97.92
206,98.44
207,98.44
208,99.48
209,98.96
210,97.40
211,97.92
212,98.96
213,98.96
214,98.96
215,98.44
216,97.40
217,98.44
218,98.44
219,97.92
220,98.44
221,98.44
222,98.96
223,98.96
224,99.48
225,99.48
226,97.92
227,97.92
228,98.44
229,98.44
230,98.44
231,98.44
232,98.96
233,98.96
234,98.96
235,98.96
236,99.48
237,98.44
238,94.27
239,96.88
240,98.44
241,97.92
242,97.92
243,97.40
244,97.40
245,98.44
246,97.40
247,96.35
248,97.92
249,97.92
250,96.88
251,96.88
252,96.88
253,96.88
254,97.92
255,97.92
256,96.88
257,97.40
258,97.92
259,97.40
260,97.40
261,97.40
262,97.40
263,97.92
264,97.40
265,97.92
266,97.40
267,97.40
268,96.88
269,97.40
270,97.40
271,97.92
272,97.92
273,96.88
274,96.88
275,97.40
276,96.88
277,97.40
278,96.88
279,96.88
280,97.92
281,96.88
282,97.92
283,97.40
284,97.40
285,97.40
286,97.40
287,97.40
288,97.40
289,97.40
290,96.88
291,96.88
292,97.40
293,97.40
294,97.40
295,97.40
296,97.40
297,96.88
298,98.44
299,97.40
300,97.92
301,97.40
302,97.40
303,97.92
304,97.40
305,97.40
306,97.40
307,97.40
308,97.92
309,97.40
310,97.40
311,97.92
312,97.40
313,97.92
314,97.40
315,97.40
316,97.40
317,97.92
318,97.92
319,97.40
320,97.40
321,97.40
322,97.40
323,97.40
324,97.40
325,97.40
326,97.92
327,97.40
328,98.44
329,97.40
330,97.92
331,97.92
332,97.40
333,97.40
334,97.40
335,97.40
336,97.40
337,97.40
338,97.40
339,97.92
340,97.40
341,97.40
342,97.40
343,97.40
344,97.40
345,97.40
346,97.92
347,97.40
348,97.92
349,97.40
350,97.40
351,97.40
352,97.92
353,97.92
354,97.40
355,97.40
356,98.44
357,97.40
358,97.40
359,96.88
360,97.40
361,97.40
362,97.40
363,97.92
364,97.92
365,97.92
366,97.40
367,97.40
368,97.40
369,97.92
370,97.40
371,98.44
372,97.40
373,97.92
374,97.40
375,97.92
376,97.92
377,97.92
378,97.92
379,97.92
380,97.40
381,97.92
382,97.92
383,97.40
384,97.40
385,97.40
386,97.92
387,97.92
388,97.40
389,97.40
390,97.40
391,97.40
392,97.40
393,97.92
394,97.40
395,97.40
