epoch,accuracy
0,46.98
1,57.54
2,67.46
3,68.32
4,75.00
5,82.11
6,81.68
7,84.91
8,87.28
9,87.72
10,89.44
11,89.87
12,93.97
13,93.97
14,93.32
15,93.10
16,90.73
17,95.26
18,93.97
19,90.09
20,93.32
21,94.61
22,95.69
23,93.75
24,91.81
25,94.61
26,94.18
27,94.40
28,96.34
29,95.69
30,95.69
31,95.47
32,95.26
33,96.34
34,96.12
35,97.41
36,95.26
37,96.98
38,96.77
39,96.12
40,96.77
41,94.83
42,98.92
43,96.34
44,98.49
45,98.06
46,97.84
47,96.98
48,96.55
49,96.98
50,97.41
51,98.28
52,98.92
53,99.14
54,98.71
55,98.06
56,98.92
57,98.06
58,99.14
59,98.71
60,98.06
61,97.41
62,97.63
63,98.92
64,98.06
65,98.71
66,97.63
67,98.06
68,96.98
69,98.06
70,99.35
71,98.28
72,98.49
73,96.98
74,98.06
75,98.49
76,97.41
77,99.14
78,99.14
79,99.35
80,98.28
81,98.49
82,97.84
83,98.06
84,98.28
85,98.71
86,98.71
87,98.28
88,98.92
89,98.92
90,98.28
91,97.63
92,98.06
93,97.84
94,97.84
95,98.28
96,99.78
97,98.92
98,99.14
99,99.57
100,99.57
101,99.35
102,99.35
103,99.57
104,98.28
105,97.20
106,98.92
107,98.49
108,98.28
109,99.57
110,99.14
111,98.92
112,98.28
113,98.49
114,99.35
115,99.35
116,99.78
117,99.35
118,99.14
119,99.78
120,98.71
121,99.35
122,98.71
123,99.35
124,98.92
125,99.57
126,99.78
127,99.57
128,98.28
129,98.92
130,99.57
131,98.92
132,96.98
133,99.14
134,98.49
135,99.57
136,99.14
137,98.49
138,99.35
139,99.78
140,99.78
141,99.35
142,99.57
143,98.92
144,97.41
145,98.28
146,96.98
147,98.28
148,99.14
149,100.00
150,98.92
151,99.57
152,100.00
153,99.78
154,99.57
155,99.35
156,98.92
157,99.35
158,99.57
159,99.35
160,99.78
161,99.14
162,99.14
163,100.00
164,98.49
165,98.49
166,98.92
167,98.49
168,99.57
169,99.78
170,98.92
171,98.92
172,99.57
173,99.14
174,99.78
175,100.00
176,100.00
177,99.78
178,99.78
179,99.78
180,100.00
181,100.00
182,100.00
183,99.57
184,99.35
185,99.78
186,99.78
187,99.35
188,100.00
189,99.14
190,99.14
191,99.35
192,99.78
193,99.78
194,99.35
195,98.92
196,98.71
197,99.57
198,99.57
199,99.78
200,100.00
201,99.78
202,100.00
203,100.00
204,99.78
205,99.14
206,100.00
207,99.57
208,99.78
209,99.57
210,99.78
211,98.92
212,100.00
213,99.57
214,99.35
215,99.14
216,99.35
217,99.57
218,99.14
219,98.28
220,99.57
221,99.78
222,99.78
223,99.78
224,99.78
225,99.78
226,99.78
227,99.78
228,98.92
229,100.00
230,99.57
231,100.00
232,99.78
233,99.78
234,100.00
235,99.78
236,99.78
237,98.92
238,98.92
239,98.92
240,100.00
241,99.78
242,99.78
243,99.57
244,99.57
245,99.14
246,99.14
247,99.14
248,98.92
249,99.57
250,100.00
251,99.35
252,99.78
253,99.57
254,98.92
255,99.78
256,99.57
257,99.57
258,100.00
259,100.00
260,99.57
261,100.00
262,100.00
263,99.78
264,99.78
265,100.00
266,100.00
267,99.78
268,99.57
269,100.00
270,99.78
271,100.00
272,100.00
273,100.00
274,99.78
275,99.78
276,100.00
277,100.00
278,99.57
279,99.78
280,100.00
281,99.78
282,99.78
283,100.00
284,99.57
285,99.78
286,99.78
287,100.00
288,100.00
289,99.78
290,100.00
291,100.00
292,100.00
293,99.57
294,100.00
295,99.57
296,100.00
297,100.00
298,100.00
299,100.00
300,99.78
301,100.00
302,100.00
303,99.78
304,99.78
305,100.00
306,100.00
307,99.78
308,100.00
309,100.00
310,100.00
311,99.57
312,100.00
313,100.00
314,100.00
315,100.00
316,99.57
317,100.00
318,100.00
319,100.00
320,99.57
321,100.00
322,100.00
323,100.00
324,100.00
325,100.00
326,100.00
327,99.78
328,100.00
329,100.00
330,100.00
331,99.78
332,100.00
333,100.00
334,100.00
335,100.00
336,100.00
337,100.00
338,100.00
339,100.00
340,100.00
341,100.00
342,100.00
343,100.00
344,100.00
345,100.00
346,100.00
347,100.00
348,100.00
349,100.00
350,100.00
351,100.00
352,100.00
353,100.00
354,100.00
355,100.00
356,99.78
357,98.92
358,100.00
359,100.00
360,100.00
361,100.00
362,100.00
363,100.00
364,100.00
365,100.00
366,100.00
367,100.00
368,99.78
369,100.00
370,99.78
371,100.00
372,100.00
373,100.00
374,100.00
375,100.00
376,100.00
377,100.00
378,100.00
379,100.00
380,100.00
381,100.00
382,100.00
383,100.00
384,100.00
385,100.00
386,99.78
387,100.00
388,100.00
389,99.78
390,99.57
391,100.00
392,100.00
393,100.00
394,100.00
395,100.00
396,100.00
397,100.00
398,100.00
399,100.00
400,100.00
401,100.00
402,100.00
403,100.00
404,100.00
405,100.00
406,100.00
407,100.00
408,99.57
409,99.57
410,100.00
411,100.00
412,99.78
413,100.00
414,100.00
415,100.00
416,100.00
417,100.00
418,100.00
419,100.00
420,100.00
421,99.78
422,100.00
423,100.00
424,100.00
425,100.00
426,99.78
427,100.00
428,100.00
429,100.00
430,99.78
431,100.00
432,100.00
433,99.78
434,100.00
435,99.57
436,100.00
437,99.78
438,100.00
439,100.00
440,100.00
441,100.00
442,100.00
443,100.00
444,100.00
445,100.00
446,100.00
447,100.00
448,99.78
449,100.00
450,100.00
451,100.00
452,100.00
453,99.78
454,100.00
455,100.00
456,100.00
457,100.00
458,99.78
459,100.00
460,100.00
461,100.00
462,100.00
463,100.00
464,100.00
465,100.00
466,100.00
467,100.00
468,99.78
469,100.00
470,100.00
471,100.00
472,100.00
473,99.78
474,99.78
475,100.00
476,100.00
477,100.00
478,100.00
479,100.00
480,100.00
481,100.00
482,99.57
483,100.00
484,99.78
485,100.00
486,100.00
487,100.00
488,100.00
489,99.78
490,100.00
491,100.00
492,100.00
493,100.00
494,100.00
495,100.00
496,100.00
497,100.00
498,100.00
499,100.00
