epoch,mean_loss
0,1.294933
1,1.086879
2,0.828987
3,0.744105
4,0.619447
5,0.501729
6,0.447569
7,0.387113
8,0.383164
9,0.305475
10,0.276765
11,0.269068
12,0.167419
13,0.171648
14,0.184900
15,0.206414
16,0.235410
17,0.134375
18,0.176191
19,0.250311
20,0.167650
21,0.154292
22,0.113517
23,0.166030
24,0.212175
25,0.144924
26,0.154917
27,0.123819
28,0.102749
29,0.102945
30,0.113137
31,0.105842
32,0.103436
33,0.099665
34,0.096579
35,0.067639
36,0.128469
37,0.089387
38,0.086045
39,0.082602
40,0.084866
41,0.145643
42,0.047705
43,0.086040
44,0.046423
45,0.054543
46,0.059257
47,0.104511
48,0.116885
49,0.070062
50,0.053235
51,0.048741
52,0.024112
53,0.036010
54,0.055026
55,0.051045
56,0.027905
57,0.065645
58,0.033398
59,0.029435
60,0.035055
61,0.078559
62,0.072579
63,0.032069
64,0.053808
65,0.043292
66,0.063928
67,0.047402
68,0.074569
69,0.058632
70,0.022348
71,0.044948
72,0.042377
73,0.112582
74,0.056393
75,0.033749
76,0.049440
77,0.039057
78,0.021675
79,0.026984
80,0.034511
81,0.032523
82,0.051361
83,0.043959
84,0.054284
85,0.032592
86,0.043780
87,0.071822
88,0.029450
89,0.031585
90,0.034609
91,0.062054
92,0.035116
93,0.053014
94,0.054917
95,0.042516
96,0.013593
97,0.021979
98,0.021501
99,0.011278
100,0.017851
101,0.024711
102,0.028098
103,0.020658
104,0.033868
105,0.069862
106,0.044172
107,0.048983
108,0.030383
109,0.018611
110,0.018688
111,0.018198
112,0.060357
113,0.040439
114,0.017526
115,0.018658
116,0.010525
117,0.023261
118,0.025581
119,0.012285
120,0.029140
121,0.021808
122,0.036487
123,0.024776
124,0.027362
125,0.022232
126,0.015409
127,0.008746
128,0.049487
129,0.034839
130,0.012635
131,0.027773
132,0.085536
133,0.023040
134,0.030785
135,0.024908
136,0.015072
137,0.044719
138,0.027302
139,0.011832
140,0.012373
141,0.021192
142,0.013007
143,0.028930
144,0.082077
145,0.033655
146,0.070313
147,0.032614
148,0.033180
149,0.004875
150,0.038096
151,0.015680
152,0.005340
153,0.011799
154,0.008807
155,0.011305
156,0.056378
157,0.020979
158,0.015807
159,0.009961
160,0.007108
161,0.031212
162,0.018556
163,0.007108
164,0.035003
165,0.035446
166,0.038950
167,0.036425
168,0.014901
169,0.006413
170,0.023784
171,0.021231
172,0.012014
173,0.014530
174,0.013500
175,0.001871
176,0.002867
177,0.005853
178,0.014908
179,0.004749
180,0.004019
181,0.001557
182,0.001637
183,0.009658
184,0.014868
185,0.022856
186,0.005345
187,0.013485
188,0.003193
189,0.022808
190,0.027736
191,0.012303
192,0.008919
193,0.005294
194,0.017861
195,0.037354
196,0.020158
197,0.009215
198,0.011662
199,0.007513
200,0.001116
201,0.005870
202,0.001539
203,0.002688
204,0.003884
205,0.025440
206,0.002717
207,0.005413
208,0.003429
209,0.011537
210,0.004197
211,0.028446
212,0.002185
213,0.013987
214,0.013841
215,0.024040
216,0.027392
217,0.022606
218,0.016912
219,0.043084
220,0.016916
221,0.009206
222,0.006453
223,0.005717
224,0.006157
225,0.003949
226,0.007734
227,0.014309
228,0.026805
229,0.004434
230,0.018661
231,0.001992
232,0.005620
233,0.017573
234,0.002935
235,0.004792
236,0.004946
237,0.018941
238,0.042904
239,0.026029
240,0.005279
241,0.003680
242,0.008399
243,0.007286
244,0.015895
245,0.018855
246,0.026250
247,0.009561
248,0.037576
249,0.010830
250,0.005010
251,0.020769
252,0.005257
253,0.020512
254,0.027154
255,0.007234
256,0.008252
257,0.008193
258,0.004194
259,0.001854
