epoch,accuracy
0,21.35
1,25.00
2,27.60
3,36.46
4,35.94
5,39.06
6,27.60
7,36.46
8,38.02
9,39.58
10,44.79
11,49.48
12,40.10
13,44.79
14,38.02
15,38.54
16,47.92
17,43.75
18,47.92
19,48.44
20,53.65
21,60.94
22,44.79
23,55.73
24,45.31
25,57.81
26,48.44
27,53.12
28,55.73
29,57.81
30,60.42
31,43.75
32,58.85
33,65.10
34,59.90
35,56.25
36,59.38
37,50.52
38,44.79
39,58.33
40,47.92
41,53.65
42,60.42
43,43.75
44,58.33
45,53.12
46,62.50
47,59.90
48,53.12
49,61.46
50,65.62
51,57.29
52,55.21
53,64.06
54,59.38
55,62.50
56,58.33
57,56.77
58,65.62
59,58.85
60,66.15
61,65.10
62,64.58
63,58.85
64,55.21
65,59.90
66,64.58
67,56.77
68,56.77
69,62.50
70,61.98
71,64.06
72,64.58
73,67.19
74,59.90
75,52.08
76,63.54
77,60.94
78,59.90
79,63.02
80,55.21
81,62.50
82,65.10
83,59.90
84,58.85
85,47.40
86,63.54
87,59.90
88,60.94
89,57.81
90,57.29
91,55.21
92,59.90
93,57.81
94,60.42
95,63.54
96,60.94
97,63.02
98,58.85
99,62.50
100,58.33
101,65.10
102,53.12
103,55.21
104,58.33
105,61.46
106,64.58
107,60.94
108,65.62
109,66.67
110,68.23
111,63.02
112,69.79
113,66.67
114,65.10
115,61.98
116,66.15
117,61.98
118,67.19
119,63.54
120,61.46
121,63.54
122,68.75
123,62.50
124,69.27
125,61.46
126,66.67
127,71.88
128,65.62
129,68.75
130,65.10
131,66.15
132,63.54
133,66.15
134,67.19
135,70.31
136,66.67
137,72.40
138,66.67
139,68.75
140,66.15
141,66.15
142,58.33
143,64.58
144,66.67
145,65.10
146,59.38
147,66.15
148,68.75
149,64.06
150,64.58
151,63.02
152,67.19
153,66.67
154,61.98
155,63.02
156,65.62
157,64.58
158,70.31
159,67.71
160,64.58
161,68.23
162,69.27
163,63.02
164,63.02
165,66.15
166,69.27
167,72.40
168,63.54
169,65.10
170,65.62
171,67.19
172,67.71
173,69.27
174,67.71
175,66.67
176,67.71
177,70.31
178,71.88
179,69.27
180,72.92
181,65.10
182,69.27
183,68.75
184,66.67
185,69.27
186,66.15
187,65.10
188,62.50
189,67.71
190,65.10
191,66.67
192,67.19
193,64.06
194,68.23
195,72.92
196,71.35
197,68.75
198,68.75
199,68.75
200,70.83
201,65.62
202,69.27
203,71.35
204,69.27
205,72.40
206,69.79
207,70.83
208,70.83
209,69.79
210,69.79
211,67.19
212,69.79
213,75.52
214,72.92
215,69.27
216,72.92
217,72.40
218,71.35
219,68.75
220,70.83
221,71.35
222,70.83
223,72.92
224,71.88
225,71.35
226,67.71
227,70.83
228,67.71
229,68.75
230,65.62
231,65.10
232,68.23
233,72.92
234,70.31
235,65.62
236,68.75
237,67.71
238,64.58
239,68.75
240,68.23
241,64.06
242,70.31
243,63.02
244,61.98
245,65.10
246,67.19
247,68.23
248,67.19
249,64.06
250,64.06
251,66.15
252,69.79
253,68.75
254,68.23
255,62.50
256,68.23
257,63.54
258,68.75
259,70.83
260,68.75
261,68.23
262,63.54
263,71.88
264,70.31
265,68.75
266,69.79
267,66.15
268,64.58
269,66.15
270,61.98
271,69.27
272,70.83
273,70.83
274,70.83
275,71.35
276,70.31
277,68.23
278,66.67
279,67.19
280,65.62
281,69.79
282,72.40
283,72.40
284,70.31
285,70.31
286,63.02
287,66.67
288,67.19
289,67.19
290,61.98
291,67.71
292,68.23
293,73.96
294,67.19
295,69.79
296,69.27
297,70.31
298,70.31
299,59.38
300,68.23
301,69.27
302,67.71
303,70.83
304,70.31
305,71.88
306,69.27
307,70.31
308,66.15
309,70.31
310,66.67
311,69.79
312,68.75
313,71.88
314,71.88
315,69.79
316,73.44
317,69.79
318,70.31
319,72.40
320,71.88
321,69.27
322,71.88
323,73.96
324,68.75
325,68.23
326,72.92
327,70.31
328,72.40
329,74.48
330,71.88
331,70.31
332,74.48
333,71.88
334,70.31
335,70.83
336,71.88
337,73.96
338,75.00
339,73.96
340,71.88
341,71.88
342,72.92
343,73.96
344,73.44
345,71.88
346,73.44
347,73.44
348,72.92
349,72.40
350,73.96
351,72.40
352,72.40
353,73.44
354,73.44
355,72.40
356,70.83
357,73.44
358,72.92
359,72.40
360,71.88
361,71.35
362,72.40
363,73.44
364,73.44
365,70.83
366,72.40
367,73.44
368,73.44
369,71.88
370,74.48
371,73.44
372,72.40
373,72.92
374,71.88
375,72.92
376,72.40
377,73.44
378,74.48
379,73.44
380,71.88
381,70.31
382,71.88
383,70.31
384,71.35
385,70.83
386,70.83
387,71.88
388,71.88
389,72.92
390,73.96
391,73.44
392,70.83
393,72.92
394,71.88
395,70.31
396,73.96
397,72.92
398,73.96
399,70.83
400,70.83
401,72.40
402,71.88
403,73.44
404,72.92
405,72.40
406,69.79
407,70.31
408,75.00
409,70.83
410,73.96
411,71.88
412,70.31
413,73.44
414,73.44
415,69.27
416,72.40
417,73.44
418,72.40
419,71.88
420,71.88
421,71.88
422,71.35
423,74.48
424,73.96
425,73.44
426,72.40
427,70.83
428,72.40
429,71.88
430,71.88
431,72.40
432,72.92
433,71.88
434,70.31
435,72.92
436,71.35
437,73.44
438,72.40
439,71.35
440,70.83
441,72.92
442,72.40
443,73.44
444,75.52
445,70.83
446,73.44
447,73.44
448,72.92
449,68.75
450,74.48
451,71.88
452,72.40
453,69.27
454,72.40
455,71.35
456,70.83
457,74.48
458,71.35
459,70.83
460,71.88
461,72.40
462,70.31
463,71.35
464,70.31
465,71.88
466,72.40
467,70.83
468,75.52
469,73.96
470,70.31
471,72.40
472,71.35
473,70.31
474,73.96
475,72.40
476,73.96
477,74.48
478,70.83
479,72.92
480,71.35
481,73.44
482,72.92
483,70.31
484,72.40
485,75.52
486,70.83
487,72.40
488,69.79
489,71.35
490,71.88
491,71.88
492,72.40
493,72.92
494,73.44
495,73.44
496,74.48
497,70.83
498,73.96
499,71.35
