epoch,accuracy
0,29.31
1,34.91
2,39.44
3,39.66
4,42.89
5,48.06
6,48.28
7,52.16
8,52.37
9,52.59
10,53.66
11,60.56
12,60.13
13,60.99
14,62.50
15,64.66
16,64.87
17,71.55
18,70.91
19,71.55
20,70.69
21,73.92
22,75.43
23,79.31
24,81.03
25,80.17
26,77.59
27,79.09
28,83.62
29,85.99
30,82.11
31,82.54
32,85.34
33,88.15
34,86.85
35,89.01
36,89.66
37,93.75
38,90.73
39,87.50
40,90.52
41,90.95
42,94.18
43,93.75
44,92.67
45,94.40
46,93.32
47,94.18
48,95.69
49,94.61
50,95.69
51,92.46
52,94.18
53,93.97
54,93.53
55,94.40
56,94.18
57,96.77
58,95.47
59,93.53
60,95.47
61,97.41
62,98.49
63,97.63
64,98.71
65,98.71
66,96.98
67,96.77
68,96.98
69,97.63
70,97.63
71,97.41
72,98.92
73,99.35
74,99.35
75,97.63
76,98.49
77,98.28
78,98.28
79,99.35
80,98.71
81,97.63
82,98.49
83,98.49
84,98.92
85,97.84
86,98.49
87,98.92
88,99.35
89,99.57
90,98.49
91,99.57
92,98.92
93,98.28
94,99.14
95,99.35
96,99.35
97,99.78
98,99.35
99,99.57
100,99.14
101,98.71
102,99.14
103,98.92
104,98.92
105,99.35
106,98.92
107,99.78
108,99.57
109,99.78
110,99.78
111,100.00
112,99.57
113,98.92
114,99.14
115,99.35
116,98.92
117,99.14
118,98.92
119,99.57
120,97.84
121,99.35
122,99.57
123,99.57
124,98.71
125,99.57
126,99.57
127,99.57
128,99.57
129,99.14
130,99.78
131,99.35
132,99.57
133,100.00
134,99.78
135,100.00
136,99.78
137,100.00
138,98.92
139,99.57
140,99.35
141,99.78
142,99.35
143,99.35
144,100.00
145,100.00
146,98.92
147,99.78
148,99.78
149,99.78
150,99.57
151,99.78
152,99.57
153,99.35
154,99.14
155,99.35
156,98.92
157,99.35
158,100.00
159,99.14
160,99.57
161,99.57
162,99.78
163,99.14
164,99.57
165,99.57
166,100.00
167,100.00
168,99.57
169,100.00
170,99.78
171,100.00
172,100.00
173,100.00
174,99.78
175,99.78
176,99.78
177,99.14
178,99.35
179,99.78
180,99.78
181,99.78
182,99.35
183,99.35
184,99.35
185,100.00
186,100.00
187,99.78
188,99.57
189,99.78
190,99.78
191,100.00
192,99.14
193,98.71
194,99.78
195,100.00
196,100.00
197,100.00
198,100.00
199,100.00
200,99.78
201,99.78
