epoch,accuracy
0,54.69
1,52.60
2,55.21
3,54.17
4,56.77
5,42.71
6,54.69
7,59.90
8,50.52
9,53.65
10,55.21
11,60.42
12,60.94
13,49.48
14,59.90
15,59.90
16,58.85
17,61.98
18,60.42
19,64.06
20,61.46
21,64.06
22,57.81
23,55.73
24,65.62
25,66.67
26,59.90
27,66.67
28,65.10
29,64.06
30,66.15
31,67.19
32,68.75
33,67.19
34,64.58
35,72.40
36,67.71
37,66.15
38,45.83
39,72.92
40,64.58
41,60.94
42,67.71
43,70.83
44,63.54
45,60.94
46,68.23
47,70.31
48,63.54
49,64.06
50,64.58
51,76.56
52,67.71
53,60.94
54,75.52
55,66.15
56,82.29
57,80.21
58,78.12
59,77.08
60,67.19
61,76.56
62,78.65
63,79.17
64,81.77
65,80.21
66,79.17
67,80.73
68,79.69
69,82.29
70,84.38
71,78.65
72,77.08
73,75.00
74,78.12
75,74.48
76,78.12
77,66.67
78,75.52
79,83.33
80,82.29
81,80.21
82,74.48
83,79.69
84,67.19
85,80.21
86,81.25
87,81.77
88,78.65
89,83.33
90,77.08
91,80.21
92,79.69
93,80.21
94,80.21
95,72.92
96,85.42
97,82.29
98,84.38
99,85.42
100,81.25
101,78.12
102,78.65
103,80.21
104,84.38
105,81.25
106,84.90
107,83.85
108,83.33
109,80.73
110,85.94
111,80.73
112,84.90
113,82.29
114,82.81
115,81.77
116,81.77
117,79.17
118,79.69
119,77.60
120,82.81
121,82.29
122,83.85
123,85.42
124,84.90
125,84.90
126,84.90
127,83.33
128,73.96
129,69.27
130,81.25
131,78.12
132,80.73
133,81.77
134,76.56
135,88.54
136,83.85
137,73.44
138,85.42
139,72.40
140,87.50
141,82.29
142,83.85
143,82.81
144,78.65
145,81.25
146,84.38
147,86.46
148,83.85
149,83.85
150,88.02
151,85.94
152,83.33
153,83.85
154,83.33
155,85.42
156,83.85
157,73.96
158,85.42
159,82.81
160,81.25
161,86.46
162,82.81
163,78.12
164,78.65
165,77.60
166,82.81
167,80.21
168,84.90
169,79.17
170,83.33
171,84.38
172,81.25
173,85.94
174,85.42
175,86.98
176,86.98
177,86.46
178,84.90
179,85.94
180,84.38
181,84.38
182,85.42
183,88.54
184,84.90
185,85.42
186,85.42
187,86.46
188,84.90
189,82.81
190,75.52
191,80.21
192,81.77
193,80.73
194,84.38
195,82.81
196,83.85
197,81.25
198,85.42
199,79.69
200,86.98
201,84.90
202,78.65
203,75.52
204,80.73
205,83.85
206,82.29
207,81.77
208,84.90
209,84.90
210,80.73
211,80.73
212,85.94
213,85.94
214,85.94
215,80.73
216,81.25
217,81.25
218,82.29
219,83.33
220,82.81
221,86.46
222,80.73
223,81.77
224,82.29
225,85.42
