epoch,accuracy
0,42.46
1,46.98
2,46.55
3,46.34
4,48.49
5,51.29
6,51.72
7,52.59
8,56.90
9,52.80
10,55.17
11,57.76
12,57.76
13,59.27
14,57.97
15,58.41
16,59.48
17,60.56
18,61.21
19,61.42
20,61.85
21,62.72
22,62.72
23,63.79
24,62.93
25,62.07
26,63.15
27,64.44
28,65.09
29,64.01
30,64.44
31,63.79
32,66.81
33,68.75
34,64.44
35,69.18
36,69.61
37,69.40
38,69.18
39,72.41
40,77.80
41,80.17
42,82.11
43,85.34
44,82.11
45,84.05
46,81.68
47,87.50
48,87.50
49,89.44
50,91.59
51,90.73
52,90.73
53,93.97
54,92.03
55,92.89
56,95.47
57,95.91
58,95.69
59,95.26
60,96.55
61,97.84
62,99.14
63,98.92
64,98.06
65,98.06
66,98.28
67,98.49
68,98.49
69,99.35
70,98.49
71,98.71
72,97.84
73,98.06
74,98.28
75,98.92
76,98.06
77,98.28
78,97.63
79,98.92
80,99.14
81,98.92
82,98.92
83,98.06
84,98.92
85,98.92
86,99.78
87,99.35
88,99.57
89,98.71
90,99.78
91,98.28
92,98.49
93,98.92
94,99.35
95,99.57
96,99.78
97,99.78
98,100.00
99,99.57
100,100.00
101,99.35
102,98.71
103,98.92
104,99.78
105,99.14
106,99.78
107,99.57
108,99.78
109,100.00
110,100.00
111,100.00
112,100.00
113,100.00
114,100.00
115,99.78
116,99.14
117,99.57
118,99.14
119,99.78
120,98.92
121,99.78
122,99.78
123,100.00
124,99.57
125,100.00
126,98.92
127,99.78
128,97.84
129,98.71
130,99.35
131,98.92
132,99.57
133,99.14
134,99.57
135,100.00
136,99.35
137,99.78
138,99.57
139,98.92
140,99.57
141,99.35
142,99.35
143,99.57
144,99.35
145,99.57
146,99.14
147,99.78
148,99.35
149,100.00
150,100.00
151,99.78
152,100.00
153,100.00
154,99.78
155,99.78
156,100.00
157,100.00
158,100.00
159,99.57
160,99.78
161,99.78
162,100.00
163,100.00
164,99.78
165,99.35
166,99.78
167,99.14
168,99.14
169,99.78
170,100.00
171,100.00
172,99.78
173,99.78
174,100.00
175,100.00
176,100.00
177,99.57
178,100.00
179,100.00
180,99.35
181,99.57
182,100.00
183,100.00
184,99.78
185,99.35
186,100.00
187,100.00
188,100.00
189,99.35
190,99.35
191,99.35
192,99.78
193,99.78
194,99.78
195,99.57
196,99.57
197,99.78
198,100.00
199,99.35
200,100.00
201,99.78
202,100.00
203,99.78
204,99.78
205,100.00
206,100.00
207,99.78
208,100.00
209,99.14
210,99.78
211,100.00
212,100.00
213,100.00
214,100.00
215,99.35
216,100.00
217,100.00
218,100.00
219,100.00
220,100.00
221,100.00
222,99.78
223,99.78
224,99.57
225,100.00
226,100.00
227,100.00
228,100.00
229,100.00
230,100.00
231,99.78
232,99.78
233,100.00
234,100.00
235,99.78
236,100.00
237,100.00
238,100.00
239,100.00
240,100.00
241,100.00
242,99.78
243,100.00
244,100.00
245,99.78
246,100.00
247,99.78
248,100.00
249,100.00
250,100.00
251,100.00
252,100.00
253,100.00
254,100.00
255,100.00
