epoch,accuracy
0,22.40
1,21.88
2,32.81
3,40.10
4,33.85
5,32.81
6,27.60
7,34.38
8,47.92
9,36.98
10,50.52
11,38.02
12,47.92
13,56.77
14,50.52
15,52.08
16,57.29
17,49.48
18,42.71
19,57.81
20,43.23
21,55.21
22,60.42
23,46.88
24,50.52
25,60.94
26,60.94
27,51.56
28,61.98
29,54.69
30,52.08
31,66.15
32,61.46
33,67.19
34,59.90
35,60.42
36,58.85
37,65.10
38,65.10
39,69.79
40,63.54
41,56.77
42,50.52
43,58.33
44,52.08
45,68.75
46,59.90
47,64.06
48,69.27
49,59.38
50,57.81
51,63.02
52,61.46
53,58.33
54,64.06
55,55.73
56,61.46
57,66.67
58,66.67
59,66.15
60,60.42
61,63.02
62,57.29
63,58.85
64,64.06
65,68.75
66,63.54
67,60.42
68,68.23
69,63.54
70,72.92
71,71.35
72,73.96
73,63.54
74,67.19
75,65.10
76,70.31
77,67.71
78,63.54
79,61.98
80,70.83
81,71.88
82,62.50
83,72.40
84,71.35
85,64.58
86,67.19
87,66.15
88,66.15
89,72.92
90,70.31
91,65.10
92,69.79
93,66.67
94,69.79
95,57.29
96,70.83
97,75.52
98,75.00
99,71.88
100,68.23
101,73.44
102,69.79
103,70.31
104,69.27
105,72.92
106,66.67
107,62.50
108,75.52
109,69.27
110,60.94
111,72.92
112,70.83
113,72.40
114,70.83
115,64.06
116,67.71
117,73.44
118,68.75
119,72.40
120,69.27
121,64.58
122,77.08
123,71.35
124,73.44
125,71.35
126,66.67
127,74.48
128,68.75
129,75.00
130,66.67
131,71.35
132,63.54
133,69.79
134,67.71
135,68.23
136,71.88
137,68.75
138,70.31
139,69.27
140,67.71
141,65.62
142,66.67
143,70.31
144,70.83
145,66.15
146,69.27
147,71.88
148,71.88
149,66.15
150,68.23
151,72.40
152,68.75
153,73.44
154,75.00
155,75.52
156,74.48
157,77.60
158,76.56
159,74.48
160,74.48
161,69.27
162,70.31
163,75.52
164,76.04
165,73.96
166,71.35
167,70.83
168,69.79
169,74.48
170,77.60
171,69.79
172,69.27
173,75.00
174,71.35
175,68.23
176,66.67
177,76.04
178,72.40
179,77.60
180,67.71
181,72.40
182,75.00
183,73.96
184,74.48
185,71.88
186,68.75
187,68.75
188,74.48
189,79.17
190,81.25
191,72.92
192,70.83
193,75.00
194,72.40
195,72.92
196,72.92
197,73.44
198,75.00
199,73.44
200,70.31
201,73.44
202,73.96
203,68.75
204,68.75
205,75.52
206,73.44
207,72.92
208,73.44
209,71.88
210,76.04
211,78.65
212,76.56
213,78.65
214,76.56
215,71.88
216,75.00
217,73.96
218,79.69
219,79.69
220,72.40
221,73.44
222,68.75
223,73.96
224,78.12
225,74.48
226,75.00
227,69.79
228,75.00
229,75.00
230,72.40
231,75.00
232,72.92
233,71.35
234,73.96
235,76.04
236,78.12
237,71.35
238,72.40
239,73.96
240,71.88
241,75.52
242,69.79
243,78.12
244,79.69
245,78.12
246,75.52
247,77.60
248,78.12
249,77.08
250,78.65
251,77.08
252,73.44
253,71.35
254,78.65
255,78.12
256,74.48
257,76.56
258,77.60
259,77.08
260,72.40
261,75.00
262,77.08
263,71.88
264,77.08
265,75.52
266,78.65
267,76.56
268,78.12
269,78.12
270,76.56
271,77.60
272,79.17
273,78.65
274,77.08
275,77.08
276,78.65
277,76.04
278,73.96
279,73.44
280,78.12
281,73.96
282,74.48
283,72.40
284,74.48
285,78.12
286,79.69
287,79.17
288,75.52
289,70.83
290,75.52
291,78.12
292,74.48
293,81.77
294,80.73
295,80.21
296,76.56
297,77.60
298,78.12
299,80.73
300,78.12
301,79.17
302,77.08
303,80.21
304,77.60
305,79.17
306,80.21
307,79.17
308,79.17
309,80.21
310,77.08
311,80.21
312,79.69
313,77.08
314,80.21
315,80.21
316,79.69
317,77.08
318,78.65
319,79.17
320,79.17
321,78.12
322,78.65
323,80.73
324,79.17
325,80.21
326,78.65
327,79.69
328,80.21
329,80.21
330,78.12
331,81.25
332,78.65
333,80.73
334,79.69
335,79.69
336,79.69
337,79.17
338,80.21
339,77.60
340,78.65
341,78.65
342,77.08
343,77.08
344,79.17
345,78.65
346,77.08
347,75.00
348,77.08
349,78.65
350,80.73
351,79.17
352,76.56
353,76.56
354,78.12
355,81.77
356,77.60
357,79.69
358,78.65
359,78.65
360,79.69
361,77.60
362,80.73
363,78.65
364,77.60
365,80.21
366,78.12
367,78.65
368,78.12
369,77.08
370,78.12
371,80.21
372,81.25
373,79.69
374,78.65
375,80.21
376,78.12
377,77.60
378,81.77
379,78.65
380,80.21
381,78.65
382,77.60
383,78.12
384,78.65
385,80.21
386,78.12
387,79.69
388,80.21
389,80.21
390,80.21
391,78.65
392,81.25
393,80.21
394,79.17
395,81.25
396,79.17
397,78.12
398,79.69
399,79.17
400,80.21
401,79.17
402,80.73
403,76.56
404,76.56
405,78.65
406,81.77
407,78.12
408,79.17
409,81.25
410,77.08
411,78.65
412,76.56
413,77.08
414,77.60
415,80.73
416,80.73
417,78.65
418,81.25
419,79.69
420,79.17
421,79.17
422,78.65
423,77.08
424,78.12
425,78.65
426,80.21
427,78.65
428,78.65
429,79.17
430,78.65
431,79.69
432,79.69
433,80.21
434,79.17
435,78.65
436,77.08
437,79.69
438,81.25
439,77.08
440,79.17
441,77.60
442,77.60
443,80.73
444,81.77
445,80.21
446,79.69
447,78.65
448,77.08
449,76.04
450,78.65
451,79.17
452,81.77
453,80.21
454,79.69
455,78.12
456,77.60
457,79.17
458,81.25
459,77.08
460,80.73
461,80.73
462,77.60
463,77.08
464,78.65
465,79.17
466,80.21
467,81.25
468,78.12
469,77.08
470,77.08
471,78.12
472,78.65
473,81.25
474,78.65
475,80.73
476,81.25
477,77.60
478,79.17
479,80.73
480,79.69
481,79.69
482,77.08
483,79.69
484,78.12
485,76.56
486,77.60
487,79.69
488,79.17
489,78.65
490,79.69
491,77.08
492,78.12
493,79.17
494,77.60
495,77.60
496,79.17
497,77.08
498,79.17
499,78.12
