epoch,accuracy
0,25.22
1,37.07
2,38.58
3,41.59
4,46.77
5,46.77
6,53.23
7,62.50
8,57.76
9,65.95
10,64.87
11,68.10
12,70.47
13,70.47
14,70.91
15,71.77
16,70.91
17,74.14
18,73.71
19,75.86
20,76.94
21,79.09
22,80.39
23,76.29
24,78.23
25,79.74
26,84.91
27,83.62
28,81.25
29,81.47
30,79.09
31,83.84
32,83.84
33,82.97
34,84.27
35,82.11
36,83.41
37,87.93
38,86.21
39,87.93
40,88.58
41,86.42
42,85.13
43,90.52
44,87.72
45,88.79
46,88.15
47,90.09
48,89.87
49,89.66
50,87.50
51,88.79
52,92.89
53,90.95
54,91.38
55,91.59
56,90.52
57,91.16
58,91.38
59,93.97
60,93.32
61,91.16
62,93.32
63,91.16
64,92.03
65,93.32
66,94.61
67,93.75
68,93.53
69,94.83
70,97.20
71,95.69
72,94.83
73,95.26
74,95.04
75,95.69
76,93.32
77,95.26
78,95.69
79,95.91
80,96.55
81,95.91
82,95.04
83,96.34
84,96.55
85,96.34
86,93.53
87,94.61
88,95.04
89,96.77
90,95.04
91,96.55
92,98.28
93,97.20
94,95.26
95,96.12
96,95.26
97,96.34
98,96.55
99,97.20
100,97.84
101,98.28
102,96.98
103,98.06
104,98.28
105,97.41
106,98.06
107,97.63
108,98.49
109,99.57
110,98.92
111,98.06
112,98.49
113,98.71
114,97.41
115,98.92
116,99.14
117,98.06
118,97.63
119,98.71
120,99.78
121,99.35
122,98.28
123,100.00
124,99.57
125,98.92
126,98.71
127,98.28
128,98.71
129,98.49
130,98.92
131,99.14
132,99.14
133,98.92
134,98.71
135,99.57
136,98.92
137,98.92
138,99.35
139,97.84
140,99.14
141,98.71
142,99.57
143,100.00
144,98.71
145,99.57
146,99.57
147,99.57
148,99.57
149,99.78
150,99.14
151,99.78
152,99.14
153,99.78
154,98.49
155,99.57
156,98.92
157,100.00
158,98.71
159,99.57
160,100.00
161,100.00
162,99.14
163,99.57
164,99.78
165,97.84
166,99.35
167,98.92
168,97.84
169,99.78
170,99.35
171,99.57
172,99.57
173,99.57
174,100.00
175,99.57
176,98.28
177,98.92
178,99.35
179,98.71
180,98.28
181,98.92
182,99.78
183,99.35
184,99.35
185,99.35
186,100.00
187,99.78
188,99.78
189,100.00
190,99.57
191,99.57
192,98.28
193,99.57
194,98.28
195,99.57
196,99.57
197,99.78
198,98.92
199,99.35
200,99.57
201,99.35
202,99.78
203,99.57
204,99.78
205,99.57
206,99.35
207,99.57
208,99.57
209,99.14
210,99.78
211,99.78
212,99.57
213,99.78
214,98.49
215,99.14
216,99.35
217,99.57
218,99.78
219,99.14
220,99.57
221,99.35
222,99.35
223,99.78
224,99.78
225,100.00
226,99.14
227,99.14
228,100.00
229,99.57
230,99.78
231,100.00
232,100.00
233,100.00
234,99.78
235,100.00
236,99.78
237,99.57
238,100.00
239,100.00
240,99.35
241,99.57
242,100.00
243,100.00
244,99.57
245,100.00
246,99.78
247,100.00
248,99.78
249,99.78
250,99.57
251,100.00
252,99.57
253,100.00
254,99.57
255,100.00
256,99.78
257,99.78
258,99.35
259,100.00
260,100.00
261,99.57
262,99.78
263,100.00
264,100.00
265,100.00
266,100.00
267,99.78
268,99.78
269,99.78
270,100.00
271,100.00
272,99.78
273,99.14
274,99.78
275,99.35
276,99.14
277,99.57
278,100.00
279,100.00
280,100.00
281,99.78
282,100.00
283,99.78
284,100.00
285,100.00
286,99.57
287,99.78
288,99.57
289,99.35
290,99.35
291,100.00
292,100.00
293,100.00
294,100.00
295,100.00
296,100.00
297,100.00
298,99.78
299,100.00
300,100.00
301,100.00
302,100.00
303,100.00
304,100.00
305,100.00
306,99.78
307,100.00
