epoch,accuracy
0,54.17
1,52.60
2,54.17
3,55.21
4,54.17
5,54.17
6,59.90
7,54.69
8,55.21
9,58.85
10,54.17
11,60.42
12,55.73
13,58.85
14,63.02
15,61.46
16,60.94
17,58.33
18,61.98
19,64.06
20,65.10
21,64.58
22,70.83
23,65.10
24,63.02
25,65.10
26,65.62
27,57.81
28,58.85
29,68.75
30,59.38
31,71.35
32,64.58
33,70.31
34,75.00
35,75.00
36,75.52
37,70.83
38,52.08
39,66.15
40,60.42
41,60.42
42,65.10
43,60.94
44,76.04
45,51.04
46,71.35
47,71.35
48,78.65
49,75.52
50,76.56
51,79.17
52,76.56
53,82.29
54,72.92
55,52.08
56,76.04
57,80.73
58,67.71
59,77.60
60,78.12
61,82.81
62,47.92
63,81.25
64,39.58
65,76.04
66,78.65
67,77.08
68,70.31
69,69.79
70,84.90
71,67.19
72,85.42
73,79.69
74,68.23
75,78.65
76,82.81
77,79.17
78,81.77
79,79.69
80,77.60
81,83.85
82,84.90
83,69.27
84,85.42
85,84.38
86,66.15
87,80.73
88,89.58
89,83.85
90,88.02
91,78.12
92,85.94
93,86.46
94,72.92
95,85.42
96,84.90
97,89.58
98,77.60
99,84.90
100,83.33
101,84.90
102,86.98
103,87.50
104,83.85
105,77.60
106,84.38
107,84.90
108,81.25
109,91.67
110,86.98
111,89.58
112,85.42
113,88.02
114,83.33
115,87.50
116,74.48
117,85.42
118,84.90
119,73.96
120,84.90
121,90.62
122,87.50
123,88.02
124,77.08
125,88.02
126,74.48
127,73.96
128,79.69
129,81.25
130,83.33
131,86.98
132,86.98
133,71.35
134,89.58
135,78.65
136,85.42
137,85.94
138,85.42
139,82.81
140,91.67
141,86.46
142,90.62
143,78.12
144,81.25
145,88.02
146,84.90
147,89.58
148,85.94
149,86.98
150,83.85
151,90.62
152,92.71
153,92.71
154,90.62
155,90.10
156,85.94
157,90.62
158,91.67
159,89.06
160,89.06
161,92.71
162,90.62
163,87.50
164,86.98
165,83.85
166,85.42
167,78.65
168,83.85
169,85.94
170,87.50
171,86.46
172,86.46
173,83.33
174,86.98
175,88.54
176,87.50
177,89.06
178,84.90
179,88.02
180,88.02
181,83.85
182,87.50
183,85.94
184,84.90
185,87.50
186,88.54
187,86.46
188,88.54
189,81.25
190,81.25
191,86.98
192,89.58
193,82.81
194,93.23
195,79.17
196,88.02
197,77.60
198,88.54
199,89.58
200,83.85
201,86.46
202,84.90
203,89.58
204,86.98
205,89.58
206,90.62
207,88.54
208,92.19
209,89.06
210,90.10
211,90.10
212,88.54
213,86.98
214,87.50
215,91.15
216,89.06
217,88.02
218,89.58
219,87.50
220,89.58
221,91.15
222,83.85
223,86.98
224,88.54
225,87.50
226,90.10
227,93.23
228,88.02
229,89.06
230,81.77
231,87.50
232,89.06
233,90.10
234,86.98
235,90.10
236,89.06
237,89.06
238,89.58
239,88.54
240,89.06
241,88.54
242,88.54
243,88.54
244,91.15
245,86.46
246,87.50
247,85.94
248,85.94
249,83.33
250,87.50
251,85.42
252,87.50
253,89.06
254,88.54
255,85.94
256,85.94
257,88.54
258,89.06
259,89.58
260,92.19
261,89.58
262,88.54
263,89.06
264,87.50
265,85.94
266,87.50
267,87.50
268,85.94
269,88.02
270,90.10
271,89.06
272,88.54
273,92.19
274,88.54
275,93.75
276,87.50
277,90.10
278,92.71
279,91.15
280,89.06
281,90.10
282,86.46
283,87.50
284,88.02
285,89.06
286,88.02
287,84.90
288,89.06
289,88.02
290,89.58
291,90.10
292,87.50
293,85.42
294,89.06
295,91.67
296,90.62
297,91.67
298,87.50
299,90.62
300,89.06
301,91.15
302,89.06
303,88.02
304,89.06
305,89.58
306,90.10
307,93.23
308,90.62
309,90.62
310,90.10
311,90.62
312,90.62
313,91.67
314,91.67
315,90.62
316,91.15
317,90.10
318,91.15
319,92.19
320,88.02
321,90.62
322,90.62
323,91.15
324,90.62
325,92.19
326,91.67
327,90.62
328,90.10
329,90.62
330,91.15
331,90.10
332,91.15
333,89.58
334,89.58
335,91.15
336,91.15
337,92.19
338,90.10
339,89.58
340,89.58
341,89.58
342,91.15
343,90.10
344,92.19
345,90.62
346,90.10
347,90.10
348,89.58
349,91.67
350,92.19
351,90.10
352,92.71
353,91.15
354,93.23
355,92.71
356,90.62
357,90.62
358,92.19
359,90.10
360,91.67
361,92.19
362,92.19
363,90.62
364,91.67
365,91.67
366,92.19
367,90.10
368,89.06
369,90.62
370,91.15
371,90.10
372,91.15
373,90.62
374,92.71
375,90.62
376,89.58
377,90.62
378,92.19
379,90.10
380,91.67
381,90.10
382,91.15
383,90.62
384,91.67
385,91.15
386,90.62
387,92.19
388,90.62
389,91.15
390,93.23
391,89.58
392,92.19
393,91.67
394,89.06
395,91.67
396,89.58
397,92.19
398,92.19
399,93.23
400,92.71
401,90.62
402,92.19
403,90.10
404,92.19
405,90.62
406,90.62
407,92.19
408,91.15
409,89.58
410,91.67
411,92.19
412,91.67
413,92.71
414,93.23
415,91.15
416,90.62
417,91.15
418,91.67
419,91.67
420,89.58
421,91.15
422,91.15
423,91.15
424,90.10
425,91.15
426,90.10
427,91.67
428,92.19
429,92.71
430,91.67
431,92.71
432,92.19
433,93.23
434,91.67
435,89.06
436,90.10
437,91.67
438,91.15
439,91.67
440,92.19
441,92.19
442,91.15
443,92.19
444,90.10
445,92.19
446,91.15
447,91.15
448,91.15
449,90.62
450,90.10
451,91.67
452,91.67
453,91.67
454,90.10
455,90.62
456,92.19
457,91.15
458,91.15
459,91.67
460,91.67
461,91.15
462,91.67
463,90.62
464,91.67
465,90.62
466,90.10
467,89.58
468,92.19
469,92.71
470,90.62
471,92.19
472,92.19
473,92.19
474,92.71
475,90.62
476,90.62
477,91.15
478,93.23
479,92.71
480,90.10
481,91.15
482,91.15
483,90.62
484,92.71
485,91.15
486,91.15
487,91.15
488,91.67
489,90.62
490,91.15
491,92.71
492,92.19
493,91.15
494,91.67
495,91.15
496,92.71
497,92.19
498,92.19
499,92.71
