epoch,mean_loss
0,1.304727
1,1.265639
2,1.255468
3,1.248174
4,1.237040
5,1.207905
6,1.201112
7,1.190607
8,1.163552
9,1.163171
10,1.146265
11,1.154081
12,1.146630
13,1.130760
14,1.129799
15,1.112947
16,1.111959
17,1.110539
18,1.105552
19,1.093752
20,1.076933
21,1.070598
22,1.054758
23,1.026917
24,1.030825
25,1.021645
26,1.020733
27,1.018478
28,0.993354
29,0.987892
30,0.976582
31,0.992525
32,0.949243
33,0.955028
34,0.938483
35,0.943586
36,0.923817
37,0.934262
38,0.911562
39,0.903655
40,0.896976
41,0.887102
42,0.896045
43,0.868590
44,0.857031
45,0.852490
46,0.839027
47,0.841490
48,0.834201
49,0.840549
50,0.824007
51,0.818130
52,0.807461
53,0.821024
54,0.823534
55,0.809583
56,0.802856
57,0.810159
58,0.795116
59,0.791069
60,0.797669
61,0.797540
62,0.805485
63,0.795236
64,0.786099
65,0.806445
66,0.804539
67,0.792025
68,0.784265
69,0.780715
70,0.790468
71,0.807479
72,0.784567
73,0.792727
74,0.778761
75,0.763809
76,0.775817
77,0.780204
78,0.775654
79,0.778336
80,0.781678
81,0.767673
82,0.772103
83,0.770061
84,0.791129
85,0.768873
86,0.776960
87,0.768481
88,0.764707
89,0.759729
90,0.761911
91,0.753777
92,0.760627
93,0.765583
94,0.760004
95,0.763448
96,0.771567
97,0.764398
98,0.768261
99,0.773203
100,0.769879
101,0.768887
102,0.753675
103,0.763428
104,0.754979
105,0.762202
106,0.765444
107,0.762678
108,0.758467
109,0.755316
110,0.755026
111,0.757309
112,0.757760
113,0.754884
114,0.755560
115,0.752265
116,0.755483
117,0.754605
118,0.751124
119,0.754753
120,0.748903
121,0.749841
122,0.756976
123,0.760631
124,0.752377
125,0.753602
126,0.758582
127,0.752157
128,0.753260
129,0.750707
130,0.750892
131,0.751354
132,0.751175
133,0.754129
134,0.754343
135,0.759614
136,0.766732
137,0.758725
138,0.755802
139,0.754317
140,0.752165
141,0.751215
142,0.755523
143,0.753744
144,0.753157
145,0.764580
146,0.755419
147,0.757327
148,0.756445
149,0.760118
150,0.756859
151,0.756026
152,0.755745
153,0.749311
154,0.749872
155,0.753663
156,0.748671
157,0.755676
158,0.758876
159,0.757845
160,0.753712
161,0.752072
162,0.751604
163,0.763282
164,0.755463
165,0.753781
166,0.754091
167,0.757749
168,0.757859
169,0.753975
170,0.750374
171,0.750755
172,0.755858
173,0.750834
174,0.755136
175,0.760765
176,0.753242
177,0.751733
178,0.752398
179,0.753085
180,0.754686
181,0.753349
182,0.751960
183,0.750583
184,0.752480
185,0.748634
186,0.750005
187,0.753070
188,0.754218
189,0.753680
190,0.747264
191,0.748252
192,0.753678
193,0.749962
194,0.749199
195,0.750180
196,0.766574
197,0.753256
198,0.752970
199,0.753707
200,0.751487
201,0.752687
202,0.750527
203,0.751400
204,0.751821
205,0.752403
206,0.748757
207,0.755260
208,0.751556
209,0.752774
210,0.755805
211,0.751193
212,0.747992
213,0.751116
214,0.756442
215,0.748460
216,0.750280
217,0.747390
218,0.744797
219,0.746509
220,0.746347
221,0.747496
222,0.748890
223,0.748750
224,0.749240
225,0.747955
226,0.749316
227,0.749535
228,0.750392
229,0.750610
230,0.750534
231,0.750148
232,0.749732
233,0.748379
234,0.753479
235,0.753280
236,0.749370
237,0.749317
238,0.751561
239,0.747020
240,0.747525
241,0.746760
242,0.746980
243,0.749288
244,0.750715
245,0.750039
246,0.748381
247,0.747090
248,0.749606
249,0.750513
250,0.751156
251,0.747295
252,0.749807
253,0.746968
254,0.751574
255,0.751007
256,0.751742
257,0.747067
258,0.748072
259,0.747716
260,0.750608
261,0.752273
262,0.749909
263,0.748480
264,0.748890
265,0.758940
266,0.750196
267,0.752592
268,0.754189
269,0.748367
270,0.748325
271,0.746417
272,0.747539
273,0.748144
