epoch,accuracy
0,50.78
1,51.56
2,53.12
3,53.12
4,50.78
5,53.12
6,53.91
7,56.25
8,60.16
9,60.16
10,60.94
11,65.62
12,54.69
13,54.69
14,61.72
15,58.59
16,58.59
17,67.97
18,60.94
19,63.28
20,64.84
21,69.53
22,71.88
23,64.06
24,75.78
25,75.00
26,75.00
27,68.75
28,71.88
29,70.31
30,78.91
31,62.50
32,77.34
33,75.00
34,74.22
35,82.81
36,67.97
37,74.22
38,82.03
39,78.12
40,67.19
41,71.09
42,80.47
43,74.22
44,71.88
45,68.75
46,76.56
47,69.53
48,78.91
49,86.72
50,82.81
51,70.31
52,81.25
53,75.00
54,82.03
55,63.28
56,82.03
57,81.25
58,85.16
59,83.59
60,78.12
61,77.34
62,83.59
63,84.38
64,75.00
65,82.03
66,71.88
67,82.81
68,85.94
69,81.25
70,84.38
71,75.00
72,83.59
73,78.91
74,85.16
75,78.12
76,81.25
77,86.72
78,85.94
79,87.50
80,85.16
81,84.38
82,75.00
83,87.50
84,85.94
85,84.38
86,85.94
87,81.25
88,89.84
89,84.38
90,89.84
91,83.59
92,89.84
93,92.97
94,90.62
95,73.44
96,84.38
97,90.62
98,91.41
99,85.94
100,88.28
101,90.62
102,78.91
103,78.91
104,84.38
105,85.16
106,82.03
107,85.94
108,84.38
109,77.34
110,85.94
111,83.59
112,83.59
113,83.59
114,80.47
115,75.00
116,82.03
117,87.50
118,85.94
119,85.94
120,57.81
121,85.16
122,85.16
123,85.94
124,88.28
125,90.62
126,89.06
127,87.50
128,83.59
129,84.38
130,87.50
131,89.84
132,90.62
133,88.28
134,88.28
135,92.97
136,87.50
137,90.62
138,88.28
139,87.50
140,85.16
141,82.03
142,85.16
143,84.38
144,82.81
145,88.28
146,85.94
147,89.06
148,85.16
149,84.38
150,88.28
151,88.28
152,75.00
153,85.16
154,92.19
155,89.06
156,87.50
157,87.50
158,89.84
159,91.41
160,92.97
161,92.19
162,92.97
163,90.62
164,89.84
165,92.19
166,89.84
167,92.19
168,89.84
169,90.62
170,92.97
171,87.50
172,81.25
173,90.62
174,88.28
175,82.81
176,85.94
177,84.38
178,84.38
179,89.06
180,92.19
181,91.41
182,91.41
183,92.97
184,92.19
185,92.97
186,92.19
187,88.28
188,92.19
189,75.78
190,91.41
191,94.53
192,90.62
193,91.41
194,92.97
195,91.41
196,84.38
197,87.50
198,94.53
199,75.00
200,83.59
201,85.94
202,89.06
203,89.84
204,89.84
205,89.06
206,93.75
207,86.72
208,87.50
209,89.06
210,89.84
211,85.16
212,85.16
213,85.94
214,86.72
215,90.62
216,89.84
217,91.41
218,91.41
219,90.62
220,91.41
221,91.41
222,90.62
223,93.75
224,94.53
225,94.53
226,85.94
227,93.75
228,87.50
229,89.84
230,89.06
231,94.53
232,92.97
233,89.84
234,89.84
235,88.28
236,90.62
237,93.75
238,90.62
239,87.50
240,92.97
241,86.72
242,89.84
243,83.59
244,89.06
245,90.62
246,89.06
247,92.19
248,89.06
249,85.16
250,90.62
251,94.53
252,89.06
253,87.50
254,84.38
255,86.72
256,87.50
257,84.38
258,85.16
259,85.16
260,91.41
261,89.84
262,89.84
263,90.62
264,90.62
265,90.62
266,87.50
267,86.72
268,87.50
269,91.41
270,89.84
271,91.41
272,90.62
273,90.62
274,87.50
275,88.28
276,92.97
277,91.41
278,82.81
279,92.19
280,86.72
281,86.72
282,91.41
283,93.75
284,89.06
285,89.84
286,89.06
287,87.50
288,91.41
289,91.41
290,90.62
291,92.19
292,91.41
293,92.97
294,91.41
295,92.19
296,89.84
297,89.06
298,93.75
299,93.75
300,94.53
301,95.31
302,93.75
303,93.75
304,96.88
305,92.97
306,92.97
307,92.97
308,92.97
309,93.75
310,92.19
311,92.19
312,93.75
313,92.19
314,91.41
315,92.97
316,92.97
317,92.97
318,93.75
319,92.19
320,91.41
321,92.97
322,92.19
323,92.97
324,92.97
325,92.19
326,93.75
327,92.97
328,92.97
329,93.75
330,92.19
331,92.97
332,92.97
333,92.97
334,92.97
335,92.19
336,92.97
337,92.97
338,90.62
339,92.97
340,92.19
341,93.75
342,92.19
343,92.19
344,92.97
345,92.97
346,90.62
347,92.19
348,92.19
349,91.41
350,90.62
351,92.97
352,91.41
353,91.41
354,89.84
355,92.19
356,90.62
357,90.62
358,92.19
359,90.62
360,90.62
361,92.97
362,91.41
363,91.41
364,92.19
365,92.19
366,92.19
367,91.41
368,92.19
369,90.62
370,92.19
371,91.41
372,92.97
373,92.19
374,92.19
375,92.97
376,91.41
377,90.62
378,92.19
379,92.19
380,91.41
381,92.97
382,92.19
383,92.19
384,92.97
385,92.19
386,90.62
387,92.97
388,92.97
389,89.84
390,92.19
391,91.41
392,91.41
393,90.62
394,92.97
395,91.41
396,92.19
397,92.19
398,92.97
399,92.19
400,92.97
401,93.75
402,91.41
403,92.19
404,91.41
405,92.19
406,91.41
407,92.97
408,92.19
409,92.19
410,91.41
411,91.41
412,92.97
413,91.41
414,92.97
415,91.41
416,91.41
417,91.41
418,91.41
419,92.97
420,92.19
421,91.41
422,92.19
423,92.19
424,91.41
425,92.19
426,91.41
427,92.97
428,92.19
429,92.19
430,93.75
431,92.19
432,92.19
433,92.19
434,92.19
435,92.97
436,92.19
437,92.19
438,91.41
439,92.19
440,92.19
441,92.19
442,89.84
443,92.97
444,92.19
445,91.41
446,90.62
447,92.19
448,91.41
449,92.19
450,92.97
451,92.19
452,91.41
453,92.97
454,90.62
455,92.97
456,92.19
457,92.19
458,91.41
459,91.41
460,89.84
461,91.41
462,91.41
