epoch,accuracy
0,46.40
1,48.11
2,48.11
3,51.33
4,52.84
5,54.73
6,56.06
7,57.77
8,58.71
9,60.61
10,60.80
11,60.23
12,62.31
13,61.55
14,62.31
15,63.83
16,64.20
17,66.10
18,65.53
19,68.75
20,71.40
21,72.73
22,73.48
23,73.11
24,73.30
25,78.03
26,80.11
27,78.79
28,81.25
29,82.95
30,83.14
31,87.12
32,86.93
33,87.88
34,91.67
35,90.15
36,89.02
37,88.26
38,91.48
39,92.99
40,93.37
41,91.10
42,91.10
43,93.56
44,92.05
45,92.05
46,93.18
47,93.18
48,93.56
49,94.13
50,94.13
51,95.08
52,96.40
53,95.27
54,96.02
55,95.83
56,93.75
57,94.32
58,97.54
59,96.97
60,96.21
61,96.02
62,97.16
63,96.78
64,97.16
65,95.64
66,96.78
67,97.54
68,97.92
69,96.97
70,95.64
71,95.45
72,97.16
73,96.97
74,96.97
75,98.11
76,97.92
77,98.86
78,98.11
79,98.30
80,99.43
81,99.62
82,97.92
83,98.67
84,99.43
85,99.43
86,98.86
87,99.05
88,99.24
89,99.24
90,99.05
91,98.86
92,98.67
93,99.43
94,98.48
95,98.30
96,97.92
97,97.92
98,99.05
99,98.30
100,99.05
101,99.62
102,99.05
103,99.05
104,98.86
105,99.24
106,98.86
107,97.54
108,99.43
109,98.67
110,99.05
111,99.43
112,99.24
113,99.43
114,99.05
115,98.67
116,99.43
117,99.43
118,99.24
119,99.24
120,99.05
121,99.05
122,99.62
123,99.62
124,99.81
125,99.43
126,99.81
127,99.81
128,98.86
129,98.86
130,99.24
131,98.86
132,99.43
133,99.81
134,99.81
135,99.24
136,99.24
137,99.62
138,98.86
139,98.86
140,99.24
141,99.81
142,98.67
143,98.86
144,99.81
145,99.05
146,99.81
147,99.43
148,99.05
149,99.43
150,99.24
151,99.05
152,98.86
153,99.43
154,99.81
155,99.43
156,99.43
157,99.43
158,99.43
159,99.62
160,99.62
161,99.62
162,99.62
163,99.62
164,99.62
165,99.62
166,99.62
167,99.81
168,99.81
169,99.81
170,99.81
171,99.81
172,99.81
173,99.81
174,99.81
175,99.62
176,99.43
177,99.62
178,99.43
179,99.62
180,99.43
181,99.62
182,99.43
183,99.62
184,99.62
185,99.62
186,99.62
187,99.81
188,99.43
189,99.62
190,99.62
191,99.81
192,99.43
193,99.62
194,99.62
195,99.81
196,99.81
197,99.43
198,99.62
199,99.24
200,99.81
201,99.81
202,99.43
203,99.62
204,99.43
205,99.81
206,99.43
207,98.86
208,99.43
209,99.05
210,99.62
211,99.43
212,99.62
213,99.62
214,99.43
215,99.81
216,99.81
217,99.81
218,99.81
219,99.81
220,99.62
221,99.81
222,99.62
223,99.81
224,99.81
225,99.62
226,99.62
227,99.62
228,99.62
229,99.81
230,99.62
231,99.81
232,99.62
233,99.81
234,99.62
235,99.81
236,99.81
237,99.81
238,100.00
239,99.81
240,99.43
241,99.43
242,99.62
243,99.81
244,99.62
245,99.24
246,99.24
247,99.62
248,99.43
249,99.81
250,99.81
251,99.62
252,99.24
253,99.81
254,99.24
255,99.81
256,99.05
257,99.43
258,99.43
259,99.81
260,99.24
261,99.62
262,99.62
263,99.62
264,99.24
265,99.62
266,98.86
267,99.62
268,99.81
269,99.81
270,99.81
271,99.81
272,99.81
273,99.81
274,99.81
275,99.62
276,99.62
277,99.81
278,99.62
279,99.62
280,99.24
281,99.05
282,99.62
283,99.81
284,99.81
285,99.81
286,99.62
287,99.81
288,99.62
289,99.81
290,99.81
291,99.81
292,99.62
293,99.81
294,99.81
295,99.81
296,99.62
297,99.62
298,99.81
299,99.81
300,99.62
301,99.81
302,99.81
303,99.81
304,99.62
305,99.62
306,99.81
307,99.81
308,99.81
309,99.81
310,99.81
311,99.81
312,99.81
313,99.81
314,99.81
315,99.81
316,99.81
317,99.81
318,99.81
319,99.62
320,99.81
321,99.81
322,99.81
323,99.81
324,99.81
325,99.81
326,99.81
327,99.81
328,99.81
329,99.81
330,99.81
331,99.81
332,99.81
333,99.81
334,99.81
335,99.81
336,99.81
337,99.81
338,99.81
339,99.81
340,99.81
341,99.81
342,99.81
343,99.81
344,99.81
345,99.81
346,99.81
347,99.81
348,99.62
349,99.81
350,99.81
351,99.81
352,99.81
353,99.81
354,99.81
355,99.81
356,99.81
357,99.81
358,99.81
359,99.81
360,99.81
361,99.81
362,99.81
363,99.81
364,99.81
365,99.81
366,99.81
367,99.81
368,99.81
369,99.81
370,99.81
371,99.81
372,99.81
373,99.81
374,99.81
375,99.81
376,99.81
377,99.62
378,99.81
379,99.81
380,99.81
381,99.81
382,99.81
383,99.81
384,99.81
385,99.81
386,99.81
387,99.81
388,99.81
389,99.81
390,99.81
391,99.81
392,99.81
393,99.81
394,99.81
395,99.81
396,99.81
397,99.81
398,99.81
399,99.81
400,99.81
401,99.81
402,99.81
403,99.62
404,99.81
405,99.81
406,99.62
407,99.81
408,99.81
409,99.81
410,99.81
411,99.81
412,99.81
413,99.81
414,99.81
415,99.81
416,99.81
417,99.81
418,99.81
419,99.81
420,99.81
421,99.81
422,99.81
423,99.81
424,99.81
425,99.81
426,99.81
427,99.81
428,99.81
429,99.81
430,99.81
431,99.81
432,99.81
433,99.81
434,99.81
435,99.81
436,99.81
437,99.81
438,99.81
439,99.81
440,99.81
441,99.81
442,99.81
443,99.81
444,99.81
445,99.81
446,99.62
447,99.43
448,99.81
449,99.81
450,99.81
451,99.81
452,99.43
453,99.81
454,99.81
455,100.00
456,99.81
457,99.81
458,99.81
459,99.81
460,99.81
461,99.81
462,99.81
463,99.81
464,99.81
465,99.81
466,99.81
467,99.81
468,99.81
469,99.81
470,99.81
471,99.81
472,99.81
473,99.81
474,99.81
475,99.81
476,99.81
477,99.81
478,99.81
479,99.81
480,99.81
481,99.62
482,99.81
483,99.62
484,99.81
485,99.81
486,99.81
487,99.81
488,99.81
489,99.81
490,99.81
491,99.81
492,99.81
493,99.62
494,99.62
495,99.81
496,99.81
497,99.81
498,99.81
499,99.81
