epoch,accuracy
0,45.31
1,45.31
2,45.31
3,50.00
4,54.69
5,53.12
6,57.81
7,54.69
8,54.69
9,56.25
10,54.69
11,56.25
12,57.81
13,54.69
14,54.69
15,56.25
16,57.81
17,56.25
18,57.81
19,56.25
20,57.81
21,60.94
22,56.25
23,56.25
24,59.38
25,53.12
26,56.25
27,65.62
28,65.62
29,59.38
30,64.06
31,68.75
32,64.06
33,65.62
34,70.31
35,70.31
36,67.19
37,68.75
38,70.31
39,67.19
40,76.56
41,73.44
42,73.44
43,67.19
44,70.31
45,65.62
46,73.44
47,65.62
48,70.31
49,76.56
50,73.44
51,75.00
52,75.00
53,78.12
54,71.88
55,67.19
56,70.31
57,70.31
58,71.88
59,79.69
60,75.00
61,73.44
62,67.19
63,68.75
64,76.56
65,70.31
66,73.44
67,71.88
68,76.56
69,67.19
70,75.00
71,70.31
72,78.12
73,76.56
74,71.88
75,75.00
76,76.56
77,70.31
78,76.56
79,75.00
80,75.00
81,75.00
82,70.31
83,76.56
84,76.56
85,73.44
86,76.56
87,73.44
88,71.88
89,71.88
90,68.75
91,81.25
92,82.81
93,78.12
94,79.69
95,76.56
96,76.56
97,85.94
98,85.94
99,90.62
100,81.25
101,67.19
102,81.25
103,81.25
104,85.94
105,84.38
106,78.12
107,89.06
108,75.00
109,82.81
110,82.81
111,85.94
112,85.94
113,73.44
114,71.88
115,81.25
116,84.38
117,84.38
118,90.62
119,82.81
120,81.25
121,81.25
122,84.38
123,81.25
124,75.00
125,89.06
126,85.94
127,87.50
128,87.50
129,82.81
130,87.50
131,84.38
132,82.81
133,87.50
134,87.50
135,87.50
136,82.81
137,85.94
138,84.38
139,90.62
140,85.94
141,79.69
142,84.38
143,87.50
144,84.38
145,84.38
146,85.94
147,87.50
148,89.06
149,89.06
150,89.06
151,85.94
152,89.06
153,85.94
154,89.06
155,84.38
156,89.06
157,85.94
158,76.56
159,85.94
160,87.50
161,79.69
162,84.38
163,84.38
164,85.94
165,81.25
166,89.06
167,87.50
168,85.94
169,85.94
170,89.06
171,85.94
172,89.06
173,81.25
174,85.94
175,92.19
176,90.62
177,85.94
178,87.50
179,87.50
180,89.06
181,89.06
182,90.62
183,87.50
184,90.62
185,87.50
186,93.75
187,85.94
188,89.06
189,89.06
190,89.06
191,92.19
192,82.81
193,76.56
194,84.38
195,87.50
196,85.94
197,87.50
198,82.81
199,85.94
200,87.50
201,81.25
202,87.50
203,87.50
204,85.94
205,89.06
206,78.12
207,89.06
208,89.06
209,89.06
210,82.81
211,82.81
212,85.94
213,87.50
214,84.38
215,89.06
216,89.06
217,89.06
218,81.25
219,85.94
220,90.62
221,87.50
222,85.94
223,89.06
224,87.50
225,85.94
226,90.62
227,89.06
228,85.94
229,92.19
230,90.62
231,84.38
232,85.94
233,89.06
234,85.94
235,84.38
236,82.81
237,90.62
238,87.50
239,90.62
240,89.06
241,90.62
242,87.50
243,85.94
244,82.81
245,92.19
246,84.38
247,81.25
248,90.62
249,89.06
250,90.62
251,89.06
252,85.94
253,87.50
254,89.06
255,87.50
256,89.06
257,90.62
258,85.94
259,89.06
260,87.50
261,84.38
262,87.50
263,89.06
264,85.94
265,87.50
266,87.50
267,87.50
268,87.50
269,89.06
270,90.62
271,92.19
272,84.38
273,90.62
274,89.06
275,85.94
276,89.06
277,90.62
278,81.25
279,92.19
280,89.06
281,85.94
282,87.50
283,85.94
284,84.38
285,84.38
286,84.38
287,84.38
288,89.06
289,87.50
290,85.94
291,85.94
292,84.38
293,87.50
294,79.69
295,87.50
296,92.19
297,85.94
298,90.62
299,85.94
300,85.94
301,87.50
302,85.94
303,84.38
304,85.94
305,84.38
306,87.50
307,85.94
308,89.06
309,85.94
310,87.50
311,87.50
312,85.94
313,85.94
314,84.38
315,89.06
316,84.38
317,89.06
318,84.38
319,87.50
320,84.38
321,87.50
322,89.06
323,87.50
324,85.94
325,85.94
326,84.38
327,89.06
328,85.94
329,90.62
330,82.81
331,89.06
332,84.38
333,87.50
334,84.38
335,85.94
336,85.94
337,87.50
338,89.06
339,87.50
340,87.50
341,89.06
342,87.50
343,84.38
344,87.50
345,89.06
346,87.50
347,82.81
348,85.94
349,84.38
350,85.94
351,85.94
352,87.50
353,85.94
354,85.94
355,87.50
356,85.94
357,87.50
358,81.25
359,82.81
360,89.06
361,90.62
362,90.62
363,85.94
364,82.81
365,89.06
366,89.06
367,87.50
368,90.62
369,82.81
370,89.06
371,84.38
372,84.38
373,90.62
374,85.94
375,84.38
376,85.94
377,89.06
378,85.94
379,87.50
380,85.94
381,85.94
382,85.94
383,87.50
384,87.50
385,89.06
386,82.81
387,85.94
388,85.94
389,87.50
390,82.81
391,85.94
392,87.50
393,85.94
394,85.94
395,87.50
396,84.38
397,82.81
398,90.62
399,85.94
400,84.38
401,82.81
402,84.38
403,89.06
404,82.81
405,90.62
406,84.38
407,85.94
408,82.81
409,84.38
410,85.94
411,84.38
412,84.38
413,87.50
414,85.94
415,85.94
416,89.06
417,84.38
418,84.38
419,87.50
420,85.94
421,89.06
422,89.06
423,87.50
424,82.81
425,82.81
426,84.38
427,82.81
428,87.50
429,85.94
430,87.50
431,87.50
432,85.94
433,85.94
434,84.38
435,87.50
436,82.81
437,87.50
438,90.62
439,87.50
440,87.50
441,87.50
442,87.50
443,84.38
444,89.06
445,89.06
446,89.06
447,84.38
448,82.81
449,87.50
450,89.06
451,85.94
452,87.50
453,89.06
454,89.06
455,84.38
456,85.94
457,84.38
458,87.50
459,84.38
460,85.94
461,90.62
462,87.50
463,87.50
464,87.50
465,87.50
466,84.38
467,85.94
468,84.38
469,87.50
470,89.06
471,85.94
472,89.06
473,87.50
474,84.38
475,82.81
476,85.94
477,84.38
478,87.50
479,87.50
480,89.06
481,82.81
482,84.38
483,85.94
484,84.38
485,87.50
486,85.94
487,82.81
488,85.94
489,85.94
490,85.94
491,87.50
492,84.38
493,87.50
494,87.50
495,90.62
496,87.50
497,87.50
498,84.38
499,84.38
