epoch,accuracy
0,25.00
1,32.81
2,40.62
3,32.81
4,42.19
5,37.50
6,64.06
7,43.75
8,37.50
9,48.44
10,65.62
11,67.19
12,64.06
13,68.75
14,70.31
15,71.88
16,50.00
17,64.06
18,71.88
19,71.88
20,70.31
21,71.88
22,64.06
23,70.31
24,71.88
25,64.06
26,76.56
27,65.62
28,51.56
29,70.31
30,78.12
31,82.81
32,71.88
33,68.75
34,71.88
35,76.56
36,79.69
37,67.19
38,43.75
39,76.56
40,87.50
41,81.25
42,76.56
43,87.50
44,87.50
45,85.94
46,84.38
47,75.00
48,79.69
49,85.94
50,89.06
51,82.81
52,90.62
53,85.94
54,82.81
55,82.81
56,75.00
57,81.25
58,84.38
59,84.38
60,87.50
61,68.75
62,78.12
63,81.25
64,84.38
65,87.50
66,85.94
67,89.06
68,81.25
69,87.50
70,87.50
71,85.94
72,82.81
73,85.94
74,82.81
75,85.94
76,84.38
77,87.50
78,85.94
79,81.25
80,85.94
81,82.81
82,89.06
83,87.50
84,89.06
85,89.06
86,89.06
87,82.81
88,89.06
89,87.50
90,89.06
91,90.62
92,84.38
93,92.19
94,84.38
95,92.19
96,87.50
97,87.50
98,87.50
99,92.19
100,89.06
101,87.50
102,85.94
103,89.06
104,90.62
105,81.25
106,89.06
107,92.19
108,87.50
109,87.50
110,90.62
111,92.19
112,93.75
113,90.62
114,92.19
115,89.06
116,89.06
117,87.50
118,92.19
119,89.06
120,90.62
121,87.50
122,92.19
123,90.62
124,85.94
125,95.31
126,92.19
127,84.38
128,89.06
129,90.62
130,85.94
131,90.62
132,87.50
133,85.94
134,90.62
135,90.62
136,90.62
137,93.75
138,90.62
139,90.62
140,90.62
141,92.19
142,90.62
143,95.31
144,92.19
145,90.62
146,93.75
147,90.62
148,90.62
149,90.62
150,90.62
151,93.75
152,93.75
153,89.06
154,96.88
155,93.75
156,95.31
157,95.31
158,85.94
159,92.19
160,95.31
161,87.50
162,90.62
163,92.19
164,92.19
165,90.62
166,93.75
167,89.06
168,85.94
169,89.06
170,95.31
171,87.50
172,92.19
173,89.06
174,90.62
175,92.19
176,93.75
177,90.62
178,92.19
179,87.50
180,90.62
181,92.19
182,93.75
183,93.75
184,92.19
185,89.06
186,92.19
187,95.31
188,93.75
189,92.19
190,90.62
191,92.19
192,95.31
193,92.19
194,95.31
195,93.75
196,90.62
197,90.62
198,90.62
199,93.75
200,93.75
201,95.31
202,95.31
203,93.75
204,90.62
205,90.62
206,93.75
207,90.62
208,92.19
209,87.50
210,90.62
211,93.75
212,95.31
213,93.75
214,95.31
215,90.62
216,89.06
217,92.19
218,90.62
219,92.19
220,92.19
221,89.06
222,95.31
223,92.19
224,93.75
225,90.62
226,92.19
227,90.62
228,93.75
229,92.19
230,90.62
231,90.62
232,92.19
233,90.62
